DATE,PCOALAUUSDM
1992-01-01,39.5
1992-02-01,39.5
1992-03-01,39.5
1992-04-01,39.5
1992-05-01,39.5
1992-06-01,39.5
1992-07-01,39.5
1992-08-01,39.5
1992-09-01,39.5
1992-10-01,37.25
1992-11-01,35
1992-12-01,35
1993-01-01,35
1993-02-01,31
1993-03-01,31
1993-04-01,31
1993-05-01,31
1993-06-01,31
1993-07-01,31
1993-08-01,31
1993-09-01,31
1993-10-01,31
1993-11-01,31
1993-12-01,31
1994-01-01,31
1994-02-01,31
1994-03-01,29.5
1994-04-01,29.5
1994-05-01,31.4
1994-06-01,33.6
1994-07-01,33.1
1994-08-01,33.1
1994-09-01,33.1
1994-10-01,33.1
1994-11-01,33.1
1994-12-01,36.1
1995-01-01,37.1
1995-02-01,37.6
1995-03-01,38.35
1995-04-01,37.1
1995-05-01,38.77
1995-06-01,40.77
1995-07-01,41.05
1995-08-01,40.88
1995-09-01,40.93
1995-10-01,40.97
1995-11-01,39.59
1995-12-01,39.35
1996-01-01,39.37
1996-02-01,39.28
1996-03-01,39.01
1996-04-01,39.33
1996-05-01,38.2
1996-06-01,38.2
1996-07-01,38.4
1996-08-01,38.35
1996-09-01,38.1
1996-10-01,37.6
1996-11-01,35.7
1996-12-01,35.35
1997-01-01,35.23
1997-02-01,34.6
1997-03-01,34.5
1997-04-01,35.4
1997-05-01,35.73
1997-06-01,34.5
1997-07-01,35
1997-08-01,36.93
1997-09-01,37.15
1997-10-01,37.15
1997-11-01,33.6
1997-12-01,31.4
1998-01-01,31.4
1998-02-01,33.44
1998-03-01,31.88
1998-04-01,31.18
1998-05-01,30.28
1998-06-01,30
1998-07-01,30
1998-08-01,26.2
1998-09-01,27.09
1998-10-01,27.1
1998-11-01,26.1
1998-12-01,26.1
1999-01-01,26.1
1999-02-01,26.1
1999-03-01,26.1
1999-04-01,26.1
1999-05-01,26.1
1999-06-01,26.1
1999-07-01,26.1
1999-08-01,26.1
1999-09-01,26.1
1999-10-01,25.6
1999-11-01,25.1
1999-12-01,25.1
2000-01-01,25.1
2000-02-01,25.1
2000-03-01,25.1
2000-04-01,25.1
2000-05-01,25.6
2000-06-01,25.6
2000-07-01,25.6
2000-08-01,25.6
2000-09-01,27.15
2000-10-01,27.15
2000-11-01,27.15
2000-12-01,30.75
2001-01-01,32.1
2001-02-01,32.1
2001-03-01,32.6
2001-04-01,33.5
2001-05-01,33.8
2001-06-01,33.9
2001-07-01,34
2001-08-01,33.8
2001-09-01,32.8
2001-10-01,32.4
2001-11-01,29.4
2001-12-01,27.35
2002-01-01,29.1
2002-02-01,29.85
2002-03-01,29.55
2002-04-01,28.84
2002-05-01,28.63
2002-06-01,26.65
2002-07-01,24.9
2002-08-01,24
2002-09-01,24.45
2002-10-01,26.25
2002-11-01,26.25
2002-12-01,26.25
2003-01-01,26.6785714285714
2003-02-01,26.9464285714286
2003-03-01,26.1428571428571
2003-04-01,25.125
2003-05-01,24.9642857142857
2003-06-01,25.8214285714286
2003-07-01,26.0892857142857
2003-08-01,27.1339285714286
2003-09-01,28.6071428571429
2003-10-01,29.4642857142857
2003-11-01,32.0491071428571
2003-12-01,36.4285714285714
2004-01-01,40.4464285714286
2004-02-01,44.7321428571429
2004-03-01,52.4330357142857
2004-04-01,57.0535714285714
2004-05-01,60.46875
