date,price
"Dec 29, 2017","24,719.22"
"Dec 28, 2017","24,837.51"
"Dec 27, 2017","24,774.30"
"Dec 26, 2017","24,746.21"
"Dec 22, 2017","24,754.06"
"Dec 21, 2017","24,782.29"
"Dec 20, 2017","24,726.65"
"Dec 19, 2017","24,754.75"
"Dec 18, 2017","24,792.20"
"Dec 15, 2017","24,651.74"
"Dec 14, 2017","24,508.66"
"Dec 13, 2017","24,585.43"
"Dec 12, 2017","24,504.80"
"Dec 11, 2017","24,386.03"
"Dec 08, 2017","24,329.16"
"Dec 07, 2017","24,211.48"
"Dec 06, 2017","24,140.91"
"Dec 05, 2017","24,180.64"
"Dec 04, 2017","24,290.05"
"Dec 01, 2017","24,231.59"
"Nov 30, 2017","24,272.35"
"Nov 29, 2017","23,940.68"
"Nov 28, 2017","23,836.71"
"Nov 27, 2017","23,580.78"
"Nov 24, 2017","23,557.99"
"Nov 22, 2017","23,526.18"
"Nov 21, 2017","23,590.83"
"Nov 20, 2017","23,430.33"
"Nov 17, 2017","23,358.24"
"Nov 16, 2017","23,458.36"
"Nov 15, 2017","23,271.28"
"Nov 14, 2017","23,409.47"
"Nov 13, 2017","23,439.70"
"Nov 10, 2017","23,422.21"
"Nov 09, 2017","23,461.94"
"Nov 08, 2017","23,563.36"
"Nov 07, 2017","23,557.23"
"Nov 06, 2017","23,548.42"
"Nov 03, 2017","23,539.19"
"Nov 02, 2017","23,516.26"
"Nov 01, 2017","23,435.01"
"Oct 31, 2017","23,377.24"
"Oct 30, 2017","23,348.74"
"Oct 27, 2017","23,434.19"
"Oct 26, 2017","23,400.86"
"Oct 25, 2017","23,329.46"
"Oct 24, 2017","23,441.76"
"Oct 23, 2017","23,273.96"
"Oct 20, 2017","23,328.63"
"Oct 19, 2017","23,163.04"
"Oct 18, 2017","23,157.60"
"Oct 17, 2017","22,997.44"
"Oct 16, 2017","22,956.96"
"Oct 13, 2017","22,871.72"
"Oct 12, 2017","22,841.01"
"Oct 11, 2017","22,872.89"
"Oct 10, 2017","22,830.68"
"Oct 09, 2017","22,761.07"
"Oct 06, 2017","22,773.67"
"Oct 05, 2017","22,775.39"
"Oct 04, 2017","22,661.64"
"Oct 03, 2017","22,641.67"
"Oct 02, 2017","22,557.60"
"Sep 29, 2017","22,405.09"
"Sep 28, 2017","22,381.20"
"Sep 27, 2017","22,340.71"
"Sep 26, 2017","22,284.32"
"Sep 25, 2017","22,296.09"
"Sep 22, 2017","22,349.59"
"Sep 21, 2017","22,359.23"
"Sep 20, 2017","22,412.59"
"Sep 19, 2017","22,370.80"
"Sep 18, 2017","22,331.35"
"Sep 15, 2017","22,268.34"
"Sep 14, 2017","22,203.48"
"Sep 13, 2017","22,158.18"
"Sep 12, 2017","22,118.86"
"Sep 11, 2017","22,057.37"
"Sep 08, 2017","21,797.79"
"Sep 07, 2017","21,784.78"
"Sep 06, 2017","21,807.64"
"Sep 05, 2017","21,753.31"
"Sep 01, 2017","21,987.56"
"Aug 31, 2017","21,948.10"
"Aug 30, 2017","21,892.43"
"Aug 29, 2017","21,865.37"
"Aug 28, 2017","21,808.40"
"Aug 25, 2017","21,813.67"
"Aug 24, 2017","21,783.40"
"Aug 23, 2017","21,812.09"
"Aug 22, 2017","21,899.89"
"Aug 21, 2017","21,703.75"
"Aug 18, 2017","21,674.51"
"Aug 17, 2017","21,750.73"
"Aug 16, 2017","22,024.87"
"Aug 15, 2017","21,998.99"
"Aug 14, 2017","21,993.71"
"Aug 11, 2017","21,858.32"
"Aug 10, 2017","21,844.01"
"Aug 09, 2017","22,048.70"
"Aug 08, 2017","22,085.34"
"Aug 07, 2017","22,118.42"
"Aug 04, 2017","22,092.81"
"Aug 03, 2017","22,026.10"
"Aug 02, 2017","22,016.24"
"Aug 01, 2017","21,963.92"
"Jul 31, 2017","21,891.12"
"Jul 28, 2017","21,830.31"
"Jul 27, 2017","21,796.55"
"Jul 26, 2017","21,711.01"
"Jul 25, 2017","21,613.43"
"Jul 24, 2017","21,513.17"
"Jul 21, 2017","21,580.07"
"Jul 20, 2017","21,611.78"
"Jul 19, 2017","21,640.75"
"Jul 18, 2017","21,574.73"
"Jul 17, 2017","21,629.72"
"Jul 14, 2017","21,637.74"
"Jul 13, 2017","21,553.09"
"Jul 12, 2017","21,532.14"
"Jul 11, 2017","21,409.07"
"Jul 10, 2017","21,408.52"
"Jul 07, 2017","21,414.34"
"Jul 06, 2017","21,320.04"
"Jul 05, 2017","21,478.17"
"Jul 03, 2017","21,479.27"
"Jun 30, 2017","21,349.63"
"Jun 29, 2017","21,287.03"
"Jun 28, 2017","21,454.61"
"Jun 27, 2017","21,310.66"
"Jun 26, 2017","21,409.55"
"Jun 23, 2017","21,394.76"
"Jun 22, 2017","21,397.29"
"Jun 21, 2017","21,410.03"
"Jun 20, 2017","21,467.14"
"Jun 19, 2017","21,528.99"
"Jun 16, 2017","21,384.28"
"Jun 15, 2017","21,359.90"
"Jun 14, 2017","21,374.56"
"Jun 13, 2017","21,328.47"
"Jun 12, 2017","21,235.67"
"Jun 09, 2017","21,271.97"
"Jun 08, 2017","21,182.53"
"Jun 07, 2017","21,173.69"
"Jun 06, 2017","21,136.23"
"Jun 05, 2017","21,184.04"
"Jun 02, 2017","21,206.29"
"Jun 01, 2017","21,144.18"
"May 31, 2017","21,008.65"
"May 30, 2017","21,029.47"
"May 26, 2017","21,080.28"
"May 25, 2017","21,082.95"
"May 24, 2017","21,012.42"
"May 23, 2017","20,937.91"
"May 22, 2017","20,894.83"
"May 19, 2017","20,804.84"
"May 18, 2017","20,663.02"
"May 17, 2017","20,606.93"
"May 16, 2017","20,979.75"
"May 15, 2017","20,981.94"
"May 12, 2017","20,896.61"
"May 11, 2017","20,919.42"
"May 10, 2017","20,943.11"
"May 09, 2017","20,975.78"
"May 08, 2017","21,012.28"
"May 05, 2017","21,006.94"
"May 04, 2017","20,951.47"
"May 03, 2017","20,957.90"
"May 02, 2017","20,949.89"
"May 01, 2017","20,913.46"
"Apr 28, 2017","20,940.51"
"Apr 27, 2017","20,981.33"
"Apr 26, 2017","20,975.09"
"Apr 25, 2017","20,996.12"
"Apr 24, 2017","20,763.89"
"Apr 21, 2017","20,547.76"
"Apr 20, 2017","20,578.71"
"Apr 19, 2017","20,404.49"
"Apr 18, 2017","20,523.28"
"Apr 17, 2017","20,636.92"
"Apr 13, 2017","20,453.25"
"Apr 12, 2017","20,591.86"
"Apr 11, 2017","20,651.30"
"Apr 10, 2017","20,658.02"
"Apr 07, 2017","20,656.10"
"Apr 06, 2017","20,662.95"
"Apr 05, 2017","20,648.15"
"Apr 04, 2017","20,689.24"
"Apr 03, 2017","20,650.21"
"Mar 31, 2017","20,663.22"
"Mar 30, 2017","20,728.49"
"Mar 29, 2017","20,659.32"
"Mar 28, 2017","20,701.50"
"Mar 27, 2017","20,550.98"
"Mar 24, 2017","20,596.72"
"Mar 23, 2017","20,656.58"
"Mar 22, 2017","20,661.30"
"Mar 21, 2017","20,668.01"
"Mar 20, 2017","20,905.86"
"Mar 17, 2017","20,914.62"
"Mar 16, 2017","20,934.55"
"Mar 15, 2017","20,950.10"
"Mar 14, 2017","20,837.37"
"Mar 13, 2017","20,881.48"
"Mar 10, 2017","20,902.98"
"Mar 09, 2017","20,858.19"
"Mar 08, 2017","20,855.73"
"Mar 07, 2017","20,924.76"
"Mar 06, 2017","20,954.34"
"Mar 03, 2017","21,005.71"
"Mar 02, 2017","21,002.97"
"Mar 01, 2017","21,115.55"
"Feb 28, 2017","20,812.24"
"Feb 27, 2017","20,837.44"
"Feb 24, 2017","20,821.76"
"Feb 23, 2017","20,810.32"
"Feb 22, 2017","20,775.60"
"Feb 21, 2017","20,743.00"
"Feb 17, 2017","20,624.05"
"Feb 16, 2017","20,619.77"
"Feb 15, 2017","20,611.86"
"Feb 14, 2017","20,504.41"
"Feb 13, 2017","20,412.16"
"Feb 10, 2017","20,269.37"
"Feb 09, 2017","20,172.40"
"Feb 08, 2017","20,054.34"
"Feb 07, 2017","20,090.29"
"Feb 06, 2017","20,052.42"
"Feb 03, 2017","20,071.46"
"Feb 02, 2017","19,884.91"
"Feb 01, 2017","19,890.94"
"Jan 31, 2017","19,864.09"
"Jan 30, 2017","19,971.13"
"Jan 27, 2017","20,093.78"
"Jan 26, 2017","20,100.91"
"Jan 25, 2017","20,068.51"
"Jan 24, 2017","19,912.71"
"Jan 23, 2017","19,799.85"
"Jan 20, 2017","19,827.25"
"Jan 19, 2017","19,732.40"
"Jan 18, 2017","19,804.72"
"Jan 17, 2017","19,826.77"
"Jan 13, 2017","19,885.73"
"Jan 12, 2017","19,891.00"
"Jan 11, 2017","19,954.28"
"Jan 10, 2017","19,855.53"
"Jan 09, 2017","19,887.38"
"Jan 06, 2017","19,963.80"
"Jan 05, 2017","19,899.29"
"Jan 04, 2017","19,942.16"
"Jan 03, 2017","19,881.76"
"Dec 30, 2016","19,762.60"
"Dec 29, 2016","19,819.78"
"Dec 28, 2016","19,833.68"
"Dec 27, 2016","19,945.04"
"Dec 23, 2016","19,933.81"
"Dec 22, 2016","19,918.88"
"Dec 21, 2016","19,941.96"
"Dec 20, 2016","19,974.62"
"Dec 19, 2016","19,883.06"
"Dec 16, 2016","19,843.41"
"Dec 15, 2016","19,852.24"
"Dec 14, 2016","19,792.53"
"Dec 13, 2016","19,911.21"
"Dec 12, 2016","19,796.43"
"Dec 09, 2016","19,756.85"
"Dec 08, 2016","19,614.81"
"Dec 07, 2016","19,549.62"
"Dec 06, 2016","19,251.78"
"Dec 05, 2016","19,216.24"
"Dec 02, 2016","19,170.42"
"Dec 01, 2016","19,191.93"
"Nov 30, 2016","19,123.58"
"Nov 29, 2016","19,121.60"
"Nov 28, 2016","19,097.90"
"Nov 25, 2016","19,152.14"
"Nov 23, 2016","19,083.18"
"Nov 22, 2016","19,023.87"
"Nov 21, 2016","18,956.69"
"Nov 18, 2016","18,867.93"
"Nov 17, 2016","18,903.82"
"Nov 16, 2016","18,868.14"
"Nov 15, 2016","18,923.06"
"Nov 14, 2016","18,868.69"
"Nov 11, 2016","18,847.66"
"Nov 10, 2016","18,807.88"
"Nov 09, 2016","18,589.69"
"Nov 08, 2016","18,332.74"
"Nov 07, 2016","18,259.60"
"Nov 04, 2016","17,888.28"
"Nov 03, 2016","17,930.67"
"Nov 02, 2016","17,959.64"
"Nov 01, 2016","18,037.10"
"Oct 31, 2016","18,142.42"
"Oct 28, 2016","18,161.19"
"Oct 27, 2016","18,169.68"
"Oct 26, 2016","18,199.33"
"Oct 25, 2016","18,169.27"
"Oct 24, 2016","18,223.03"
"Oct 21, 2016","18,145.71"
"Oct 20, 2016","18,162.35"
"Oct 19, 2016","18,202.62"
"Oct 18, 2016","18,161.94"
"Oct 17, 2016","18,086.40"
"Oct 14, 2016","18,138.38"
"Oct 13, 2016","18,098.94"
"Oct 12, 2016","18,144.20"
"Oct 11, 2016","18,128.66"
"Oct 10, 2016","18,329.04"
"Oct 07, 2016","18,240.49"
"Oct 06, 2016","18,268.50"
"Oct 05, 2016","18,281.03"
"Oct 04, 2016","18,168.45"
"Oct 03, 2016","18,253.85"
"Sep 30, 2016","18,308.15"
"Sep 29, 2016","18,143.45"
"Sep 28, 2016","18,339.24"
"Sep 27, 2016","18,228.30"
"Sep 26, 2016","18,094.83"
"Sep 23, 2016","18,261.45"
"Sep 22, 2016","18,392.46"
"Sep 21, 2016","18,293.70"
"Sep 20, 2016","18,129.96"
"Sep 19, 2016","18,120.17"
"Sep 16, 2016","18,123.80"
"Sep 15, 2016","18,212.48"
"Sep 14, 2016","18,034.77"
"Sep 13, 2016","18,066.75"
"Sep 12, 2016","18,325.07"
"Sep 09, 2016","18,085.45"
"Sep 08, 2016","18,479.91"
"Sep 07, 2016","18,526.14"
"Sep 06, 2016","18,538.12"
"Sep 02, 2016","18,491.96"
"Sep 01, 2016","18,419.30"
"Aug 31, 2016","18,400.88"
"Aug 30, 2016","18,454.30"
"Aug 29, 2016","18,502.99"
"Aug 26, 2016","18,395.40"
"Aug 25, 2016","18,448.41"
"Aug 24, 2016","18,481.48"
"Aug 23, 2016","18,547.30"
"Aug 22, 2016","18,529.42"
"Aug 19, 2016","18,552.57"
"Aug 18, 2016","18,597.70"
"Aug 17, 2016","18,573.94"
"Aug 16, 2016","18,552.02"
"Aug 15, 2016","18,636.05"
"Aug 12, 2016","18,576.47"
"Aug 11, 2016","18,613.52"
"Aug 10, 2016","18,495.66"
"Aug 09, 2016","18,533.05"
"Aug 08, 2016","18,529.29"
"Aug 05, 2016","18,543.53"
"Aug 04, 2016","18,352.05"
"Aug 03, 2016","18,355.00"
"Aug 02, 2016","18,313.77"
"Aug 01, 2016","18,404.51"
"Jul 29, 2016","18,432.24"
"Jul 28, 2016","18,456.35"
"Jul 27, 2016","18,472.17"
"Jul 26, 2016","18,473.75"
"Jul 25, 2016","18,493.06"
"Jul 22, 2016","18,570.85"
"Jul 21, 2016","18,517.23"
"Jul 20, 2016","18,595.03"
"Jul 19, 2016","18,559.01"
"Jul 18, 2016","18,533.05"
"Jul 15, 2016","18,516.55"
"Jul 14, 2016","18,506.41"
"Jul 13, 2016","18,372.12"
"Jul 12, 2016","18,347.67"
"Jul 11, 2016","18,226.93"
"Jul 08, 2016","18,146.74"
"Jul 07, 2016","17,895.88"
"Jul 06, 2016","17,918.62"
"Jul 05, 2016","17,840.62"
"Jul 01, 2016","17,949.37"
"Jun 30, 2016","17,929.99"
"Jun 29, 2016","17,694.68"
"Jun 28, 2016","17,409.72"
"Jun 27, 2016","17,140.24"
"Jun 24, 2016","17,400.75"
"Jun 23, 2016","18,011.07"
"Jun 22, 2016","17,780.83"
"Jun 21, 2016","17,829.73"
"Jun 20, 2016","17,804.87"
"Jun 17, 2016","17,675.16"
"Jun 16, 2016","17,733.10"
"Jun 15, 2016","17,640.17"
"Jun 14, 2016","17,674.82"
"Jun 13, 2016","17,732.48"
"Jun 10, 2016","17,865.34"
"Jun 09, 2016","17,985.19"
"Jun 08, 2016","18,005.05"
"Jun 07, 2016","17,938.28"
"Jun 06, 2016","17,920.33"
"Jun 03, 2016","17,807.06"
"Jun 02, 2016","17,838.56"
"Jun 01, 2016","17,789.67"
"May 31, 2016","17,787.20"
"May 27, 2016","17,873.22"
"May 26, 2016","17,828.29"
"May 25, 2016","17,851.51"
"May 24, 2016","17,706.05"
"May 23, 2016","17,492.93"
"May 20, 2016","17,500.94"
"May 19, 2016","17,435.40"
"May 18, 2016","17,526.62"
"May 17, 2016","17,529.98"
"May 16, 2016","17,710.71"
"May 13, 2016","17,535.32"
"May 12, 2016","17,720.50"
"May 11, 2016","17,711.12"
"May 10, 2016","17,928.35"
"May 09, 2016","17,705.91"
"May 06, 2016","17,740.63"
"May 05, 2016","17,660.71"
"May 04, 2016","17,651.26"
"May 03, 2016","17,750.91"
"May 02, 2016","17,891.16"
"Apr 29, 2016","17,773.64"
"Apr 28, 2016","17,830.76"
"Apr 27, 2016","18,041.55"
"Apr 26, 2016","17,990.32"
"Apr 25, 2016","17,977.24"
"Apr 22, 2016","18,003.75"
"Apr 21, 2016","17,982.52"
"Apr 20, 2016","18,096.27"
"Apr 19, 2016","18,053.60"
"Apr 18, 2016","18,004.16"
"Apr 15, 2016","17,897.46"
"Apr 14, 2016","17,926.43"
"Apr 13, 2016","17,908.28"
"Apr 12, 2016","17,721.25"
"Apr 11, 2016","17,556.41"
"Apr 08, 2016","17,576.96"
"Apr 07, 2016","17,541.96"
"Apr 06, 2016","17,716.05"
"Apr 05, 2016","17,603.32"
"Apr 04, 2016","17,737.00"
"Apr 01, 2016","17,792.75"
"Mar 31, 2016","17,685.09"
"Mar 30, 2016","17,716.66"
"Mar 29, 2016","17,633.11"
"Mar 28, 2016","17,535.39"
"Mar 24, 2016","17,515.73"
"Mar 23, 2016","17,502.59"
"Mar 22, 2016","17,582.57"
"Mar 21, 2016","17,623.87"
"Mar 18, 2016","17,602.30"
"Mar 17, 2016","17,481.49"
"Mar 16, 2016","17,325.76"
"Mar 15, 2016","17,251.53"
"Mar 14, 2016","17,229.13"
"Mar 11, 2016","17,213.31"
"Mar 10, 2016","16,995.13"
"Mar 09, 2016","17,000.36"
"Mar 08, 2016","16,964.10"
"Mar 07, 2016","17,073.95"
"Mar 04, 2016","17,006.77"
"Mar 03, 2016","16,943.90"
"Mar 02, 2016","16,899.32"
"Mar 01, 2016","16,865.08"
"Feb 29, 2016","16,516.50"
"Feb 26, 2016","16,639.97"
"Feb 25, 2016","16,697.29"
"Feb 24, 2016","16,484.99"
"Feb 23, 2016","16,431.78"
"Feb 22, 2016","16,620.66"
"Feb 19, 2016","16,391.99"
