date,price
"Dec 29, 2017","10,612.29"
"Dec 28, 2017","10,660.11"
"Dec 27, 2017","10,697.21"
"Dec 26, 2017","10,672.66"
"Dec 22, 2017","10,674.97"
"Dec 21, 2017","10,629.71"
"Dec 20, 2017","10,628.74"
"Dec 19, 2017","10,535.91"
"Dec 18, 2017","10,522.26"
"Dec 15, 2017","10,393.01"
"Dec 14, 2017","10,327.95"
"Dec 13, 2017","10,398.98"
"Dec 12, 2017","10,367.91"
"Dec 11, 2017","10,370.83"
"Dec 08, 2017","10,402.51"
"Dec 07, 2017","10,361.39"
"Dec 06, 2017","10,227.81"
"Dec 05, 2017","10,229.03"
"Dec 04, 2017","10,368.58"
"Dec 01, 2017","10,186.63"
"Nov 30, 2017","10,274.77"
"Nov 29, 2017","10,076.38"
"Nov 28, 2017","9,754.03"
"Nov 27, 2017","9,595.23"
"Nov 24, 2017","9,620.20"
"Nov 22, 2017","9,626.66"
"Nov 21, 2017","9,614.72"
"Nov 20, 2017","9,521.95"
"Nov 17, 2017","9,483.09"
"Nov 16, 2017","9,593.09"
"Nov 15, 2017","9,440.87"
"Nov 14, 2017","9,489.18"
"Nov 13, 2017","9,518.84"
"Nov 10, 2017","9,501.36"
"Nov 09, 2017","9,517.50"
"Nov 08, 2017","9,630.77"
"Nov 07, 2017","9,671.79"
"Nov 06, 2017","9,731.79"
"Nov 03, 2017","9,755.00"
"Nov 02, 2017","9,778.33"
"Nov 01, 2017","9,783.81"
"Oct 31, 2017","9,758.47"
"Oct 30, 2017","9,802.70"
"Oct 27, 2017","9,931.65"
"Oct 26, 2017","9,881.46"
"Oct 25, 2017","9,790.09"
"Oct 24, 2017","9,951.51"
"Oct 23, 2017","9,939.39"
"Oct 20, 2017","9,972.10"
"Oct 19, 2017","9,886.51"
"Oct 18, 2017","9,899.67"
"Oct 17, 2017","9,824.14"
"Oct 16, 2017","9,857.15"
"Oct 13, 2017","9,936.22"
"Oct 12, 2017","10,038.13"
"Oct 11, 2017","9,976.66"
"Oct 10, 2017","9,928.48"
"Oct 09, 2017","9,864.89"
"Oct 06, 2017","9,886.88"
"Oct 05, 2017","9,909.42"
"Oct 04, 2017","9,921.84"
"Oct 03, 2017","9,973.80"
"Oct 02, 2017","9,907.83"
"Sep 29, 2017","9,914.35"
"Sep 28, 2017","9,886.82"
"Sep 27, 2017","9,841.99"
"Sep 26, 2017","9,779.85"
"Sep 25, 2017","9,715.10"
"Sep 22, 2017","9,704.38"
"Sep 21, 2017","9,668.99"
"Sep 20, 2017","9,654.37"
"Sep 19, 2017","9,507.08"
"Sep 18, 2017","9,514.64"
"Sep 15, 2017","9,546.25"
"Sep 14, 2017","9,509.77"
"Sep 13, 2017","9,531.05"
"Sep 12, 2017","9,544.55"
"Sep 11, 2017","9,483.69"
"Sep 08, 2017","9,383.74"
"Sep 07, 2017","9,346.03"
"Sep 06, 2017","9,310.15"
"Sep 05, 2017","9,267.39"
"Sep 01, 2017","9,356.02"
"Aug 31, 2017","9,319.05"
"Aug 30, 2017","9,309.79"
"Aug 29, 2017","9,237.18"
"Aug 28, 2017","9,156.96"
"Aug 25, 2017","9,133.75"
"Aug 24, 2017","9,021.12"
"Aug 23, 2017","9,086.30"
"Aug 22, 2017","9,200.94"
"Aug 21, 2017","9,121.93"
"Aug 18, 2017","9,095.31"
"Aug 17, 2017","9,152.45"
"Aug 16, 2017","9,377.22"
"Aug 15, 2017","9,371.07"
"Aug 14, 2017","9,347.55"
"Aug 11, 2017","9,199.05"
"Aug 10, 2017","9,119.74"
"Aug 09, 2017","9,235.41"
"Aug 08, 2017","9,232.85"
"Aug 07, 2017","9,284.66"
"Aug 04, 2017","9,277.63"
"Aug 03, 2017","9,202.40"
"Aug 02, 2017","9,174.99"
"Aug 01, 2017","9,145.75"
"Jul 31, 2017","9,182.78"
"Jul 28, 2017","9,227.07"
"Jul 27, 2017","9,189.61"
"Jul 26, 2017","9,484.12"
"Jul 25, 2017","9,489.48"
"Jul 24, 2017","9,428.20"
"Jul 21, 2017","9,471.27"
"Jul 20, 2017","9,483.09"
"Jul 19, 2017","9,575.73"
"Jul 18, 2017","9,633.05"
"Jul 17, 2017","9,698.20"
"Jul 14, 2017","9,742.76"
"Jul 13, 2017","9,703.23"
"Jul 12, 2017","9,716.32"
"Jul 11, 2017","9,599.43"
"Jul 10, 2017","9,673.80"
"Jul 07, 2017","9,694.94"
"Jul 06, 2017","9,576.16"
"Jul 05, 2017","9,645.91"
"Jul 03, 2017","9,639.63"
"Jun 30, 2017","9,563.73"
"Jun 29, 2017","9,481.44"
"Jun 28, 2017","9,517.44"
"Jun 27, 2017","9,383.67"
"Jun 26, 2017","9,442.03"
"Jun 23, 2017","9,388.67"
"Jun 22, 2017","9,319.84"
"Jun 21, 2017","9,292.61"
"Jun 20, 2017","9,303.82"
"Jun 19, 2017","9,476.63"
"Jun 16, 2017","9,414.07"
"Jun 15, 2017","9,409.01"
"Jun 14, 2017","9,387.33"
"Jun 13, 2017","9,456.65"
"Jun 12, 2017","9,388.79"
"Jun 09, 2017","9,327.88"
"Jun 08, 2017","9,332.14"
"Jun 07, 2017","9,334.58"
"Jun 06, 2017","9,274.40"
"Jun 05, 2017","9,307.17"
"Jun 02, 2017","9,331.72"
"Jun 01, 2017","9,277.44"
"May 31, 2017","9,163.90"
"May 30, 2017","9,163.66"
"May 26, 2017","9,176.20"
"May 25, 2017","9,163.84"
"May 24, 2017","9,022.52"
"May 23, 2017","9,009.67"
"May 22, 2017","8,964.65"
"May 19, 2017","8,879.19"
"May 18, 2017","8,818.58"
"May 17, 2017","8,783.74"
"May 16, 2017","9,062.85"
"May 15, 2017","9,067.23"
"May 12, 2017","9,001.14"
"May 11, 2017","9,037.99"
"May 10, 2017","9,072.35"
"May 09, 2017","9,130.28"
"May 08, 2017","9,092.81"
"May 05, 2017","9,189.97"
"May 04, 2017","9,138.13"
"May 03, 2017","9,133.14"
"May 02, 2017","9,153.97"
"May 01, 2017","9,070.15"
"Apr 28, 2017","9,097.63"
"Apr 27, 2017","9,193.99"
"Apr 26, 2017","9,167.74"
"Apr 25, 2017","9,249.42"
"Apr 24, 2017","9,282.99"
"Apr 21, 2017","9,133.81"
"Apr 20, 2017","9,126.13"
"Apr 19, 2017","8,976.35"
"Apr 18, 2017","8,933.10"
"Apr 17, 2017","8,990.42"
"Apr 13, 2017","8,874.56"
"Apr 12, 2017","8,971.84"
"Apr 11, 2017","9,135.58"
"Apr 10, 2017","9,178.70"
"Apr 07, 2017","9,104.81"
"Apr 06, 2017","9,134.17"
"Apr 05, 2017","9,095.98"
"Apr 04, 2017","9,100.67"
"Apr 03, 2017","9,086.24"
"Mar 31, 2017","9,116.51"
"Mar 30, 2017","9,151.60"
"Mar 29, 2017","9,075.39"
"Mar 28, 2017","9,096.83"
"Mar 27, 2017","8,935.11"
"Mar 24, 2017","8,928.78"
"Mar 23, 2017","8,936.15"
"Mar 22, 2017","8,987.19"
"Mar 21, 2017","8,930.66"
"Mar 20, 2017","9,101.04"
"Mar 17, 2017","9,145.50"
"Mar 16, 2017","9,181.08"
"Mar 15, 2017","9,229.32"
"Mar 14, 2017","9,123.06"
"Mar 13, 2017","9,251.68"
"Mar 10, 2017","9,289.81"
"Mar 09, 2017","9,208.64"
"Mar 08, 2017","9,271.47"
"Mar 07, 2017","9,317.04"
"Mar 06, 2017","9,420.28"
"Mar 03, 2017","9,491.61"
"Mar 02, 2017","9,439.47"
"Mar 01, 2017","9,593.95"
"Feb 28, 2017","9,419.86"
"Feb 27, 2017","9,474.44"
"Feb 24, 2017","9,421.87"
"Feb 23, 2017","9,335.80"
"Feb 22, 2017","9,448.55"
"Feb 21, 2017","9,531.75"
"Feb 17, 2017","9,495.39"
"Feb 16, 2017","9,474.98"
"Feb 15, 2017","9,554.35"
"Feb 14, 2017","9,444.22"
"Feb 13, 2017","9,475.78"
"Feb 10, 2017","9,393.79"
"Feb 09, 2017","9,331.17"
"Feb 08, 2017","9,245.89"
"Feb 07, 2017","9,213.36"
"Feb 06, 2017","9,231.82"
"Feb 03, 2017","9,241.56"
"Feb 02, 2017","9,103.29"
"Feb 01, 2017","9,171.39"
"Jan 31, 2017","9,191.98"
"Jan 30, 2017","9,329.34"
"Jan 27, 2017","9,444.28"
"Jan 26, 2017","9,468.77"
"Jan 25, 2017","9,421.01"
"Jan 24, 2017","9,288.59"
"Jan 23, 2017","9,138.19"
"Jan 20, 2017","9,224.57"
"Jan 19, 2017","9,163.96"
"Jan 18, 2017","9,140.87"
"Jan 17, 2017","9,099.58"
"Jan 13, 2017","9,202.34"
"Jan 12, 2017","9,144.47"
"Jan 11, 2017","9,186.32"
"Jan 10, 2017","9,095.07"
"Jan 09, 2017","9,022.83"
"Jan 06, 2017","9,104.08"
"Jan 05, 2017","9,051.76"
"Jan 04, 2017","9,115.72"
"Jan 03, 2017","9,023.86"
"Dec 30, 2016","9,043.90"
"Dec 29, 2016","9,085.14"
"Dec 28, 2016","9,088.49"
"Dec 27, 2016","9,199.23"
"Dec 23, 2016","9,190.64"
"Dec 22, 2016","9,159.64"
"Dec 21, 2016","9,229.44"
"Dec 20, 2016","9,309.67"
"Dec 19, 2016","9,232.98"
"Dec 16, 2016","9,167.49"
"Dec 15, 2016","9,258.86"
"Dec 14, 2016","9,218.36"
"Dec 13, 2016","9,345.85"
"Dec 12, 2016","9,322.64"
"Dec 09, 2016","9,407.19"
"Dec 08, 2016","9,421.08"
"Dec 07, 2016","9,371.61"
"Dec 06, 2016","9,140.27"
"Dec 05, 2016","9,081.61"
"Dec 02, 2016","9,048.96"
"Dec 01, 2016","9,037.20"
"Nov 30, 2016","8,981.65"
"Nov 29, 2016","8,943.58"
"Nov 28, 2016","8,962.46"
"Nov 25, 2016","9,044.21"
"Nov 23, 2016","9,000.04"
"Nov 22, 2016","8,911.48"
"Nov 21, 2016","8,897.34"
