"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2010","1.5602","1.5427","1.5667","1.5425","","1.17%"
"12/30/2010","1.5421","1.5499","1.5537","1.5366","","-0.50%"
"12/29/2010","1.5499","1.5377","1.5520","1.5349","","0.75%"
"12/28/2010","1.5383","1.5419","1.5513","1.5345","","-0.24%"
"12/27/2010","1.5420","1.5444","1.5458","1.5370","","-0.16%"
"12/24/2010","1.5444","1.5431","1.5478","1.5417","","0.10%"
"12/23/2010","1.5428","1.5385","1.5439","1.5373","","0.27%"
"12/22/2010","1.5387","1.5471","1.5495","1.5356","","-0.50%"
"12/21/2010","1.5465","1.5509","1.5568","1.5436","","-0.30%"
"12/20/2010","1.5511","1.5505","1.5577","1.5476","","-0.15%"
"12/17/2010","1.5535","1.5631","1.5648","1.5454","","-0.64%"
"12/16/2010","1.5635","1.5544","1.5636","1.5540","","0.62%"
"12/15/2010","1.5539","1.5783","1.5785","1.5532","","-1.57%"
"12/14/2010","1.5787","1.5857","1.5911","1.5739","","-0.44%"
"12/13/2010","1.5857","1.5807","1.5897","1.5719","","0.25%"
"12/10/2010","1.5817","1.5770","1.5863","1.5748","","0.30%"
"12/09/2010","1.5770","1.5804","1.5842","1.5711","","-0.22%"
"12/08/2010","1.5804","1.5762","1.5835","1.5667","","0.27%"
"12/07/2010","1.5762","1.5716","1.5823","1.5703","","0.32%"
"12/06/2010","1.5711","1.5766","1.5775","1.5655","","-0.43%"
"12/03/2010","1.5779","1.5604","1.5787","1.5581","","1.11%"
"12/02/2010","1.5606","1.5623","1.5667","1.5511","","-0.15%"
"12/01/2010","1.5629","1.5564","1.5650","1.5549","","0.49%"
"11/30/2010","1.5553","1.5574","1.5596","1.5484","","-0.14%"
"11/29/2010","1.5575","1.5594","1.5648","1.5528","","-0.12%"
"11/26/2010","1.5594","1.5762","1.5773","1.5578","","-1.07%"
"11/25/2010","1.5762","1.5774","1.5795","1.5726","","-0.11%"
"11/24/2010","1.5779","1.5777","1.5837","1.5741","","-0.01%"
"11/23/2010","1.5780","1.5958","1.5966","1.5759","","-1.12%"
"11/22/2010","1.5959","1.5981","1.6087","1.5899","","-0.17%"
"11/19/2010","1.5986","1.6040","1.6096","1.5937","","-0.37%"
"11/18/2010","1.6046","1.5905","1.6056","1.5888","","0.94%"
"11/17/2010","1.5896","1.5885","1.5950","1.5855","","0.04%"
"11/16/2010","1.5890","1.6056","1.6086","1.5840","","-1.08%"
"11/15/2010","1.6063","1.6151","1.6155","1.6042","","-0.45%"
"11/12/2010","1.6136","1.6120","1.6185","1.5987","","0.12%"
"11/11/2010","1.6116","1.6123","1.6179","1.6082","","-0.05%"
"11/10/2010","1.6124","1.5987","1.6138","1.5960","","0.86%"
"11/09/2010","1.5987","1.6137","1.6185","1.5952","","-0.95%"
"11/08/2010","1.6140","1.6195","1.6212","1.6104","","-0.24%"
"11/05/2010","1.6179","1.6271","1.6295","1.6168","","-0.53%"
"11/04/2010","1.6265","1.6107","1.6301","1.6086","","1.04%"
"11/03/2010","1.6098","1.6045","1.6167","1.6007","","0.34%"
