date,price,year
1992-12-31,333.00,1992
1992-12-30,333.15,1992
1992-12-29,332.75,1992
1992-12-28,333.00,1992
1992-12-25,333.75,1992
1992-12-24,332.90,1992
1992-12-23,333.00,1992
1992-12-22,332.30,1992
1992-12-21,333.95,1992
1992-12-18,337.00,1992
1992-12-17,338.00,1992
1992-12-16,337.50,1992
1992-12-15,334.55,1992
1992-12-14,334.55,1992
1992-12-11,335.10,1992
1992-12-10,333.90,1992
1992-12-09,333.70,1992
1992-12-08,335.35,1992
1992-12-07,335.90,1992
1992-12-04,335.60,1992
1992-12-03,335.30,1992
1992-12-02,335.65,1992
1992-12-01,334.90,1992
1992-11-30,334.30,1992
1992-11-27,334.50,1992
1992-11-26,334.60,1992
1992-11-25,333.40,1992
1992-11-24,334.60,1992
1992-11-23,334.30,1992
1992-11-20,335.20,1992
1992-11-19,335.00,1992
1992-11-18,334.75,1992
1992-11-17,335.20,1992
1992-11-16,334.50,1992
1992-11-13,335.70,1992
1992-11-12,332.20,1992
1992-11-11,332.00,1992
1992-11-10,330.00,1992
1992-11-09,333.10,1992
1992-11-06,335.60,1992
1992-11-05,336.50,1992
1992-11-04,337.30,1992
1992-11-03,337.70,1992
1992-11-02,339.70,1992
1992-10-30,339.50,1992
1992-10-29,339.40,1992
1992-10-28,338.90,1992
1992-10-27,337.30,1992
1992-10-26,340.50,1992
1992-10-23,343.20,1992
1992-10-22,342.30,1992
1992-10-21,343.50,1992
1992-10-20,343.50,1992
1992-10-19,342.50,1992
1992-10-16,342.00,1992
1992-10-15,341.10,1992
1992-10-14,341.50,1992
1992-10-13,344.20,1992
1992-10-12,345.65,1992
1992-10-09,350.30,1992
1992-10-08,349.75,1992
1992-10-07,350.60,1992
1992-10-06,350.15,1992
1992-10-05,350.50,1992
1992-10-02,348.30,1992
1992-10-01,348.10,1992
1992-09-30,348.30,1992
1992-09-29,348.50,1992
1992-09-28,347.85,1992
1992-09-25,349.10,1992
1992-09-24,349.10,1992
1992-09-23,348.70,1992
1992-09-22,349.25,1992
1992-09-21,347.45,1992
1992-09-18,351.00,1992
1992-09-17,347.75,1992
1992-09-16,348.90,1992
1992-09-15,346.00,1992
1992-09-14,346.45,1992
1992-09-11,340.75,1992
1992-09-10,341.90,1992
1992-09-09,341.80,1992
1992-09-08,342.20,1992
1992-09-07,342.90,1992
1992-09-04,341.25,1992
1992-09-03,340.90,1992
1992-09-02,338.70,1992
1992-09-01,340.50,1992
1992-08-31,342.20,1992
1992-08-28,339.55,1992
1992-08-27,338.90,1992
1992-08-26,338.15,1992
1992-08-25,340.25,1992
1992-08-24,341.55,1992
1992-08-21,337.40,1992
1992-08-20,337.50,1992
1992-08-19,337.60,1992
1992-08-18,335.95,1992
1992-08-17,337.00,1992
1992-08-14,335.30,1992
1992-08-13,334.80,1992
1992-08-12,340.00,1992
1992-08-11,347.65,1992
1992-08-10,349.90,1992
1992-08-07,350.40,1992
1992-08-06,349.30,1992
1992-08-05,349.40,1992
1992-08-04,352.90,1992
1992-08-03,353.00,1992
1992-07-31,357.60,1992
1992-07-30,356.50,1992
1992-07-29,356.40,1992
1992-07-28,359.00,1992
1992-07-27,357.80,1992
1992-07-24,359.30,1992
1992-07-23,357.75,1992
1992-07-22,359.00,1992
1992-07-21,357.40,1992
1992-07-20,358.65,1992
1992-07-17,357.00,1992
1992-07-16,352.25,1992
1992-07-15,353.45,1992
1992-07-14,350.60,1992
1992-07-13,348.70,1992
1992-07-10,348.00,1992
1992-07-09,348.45,1992
1992-07-08,347.15,1992
1992-07-07,346.15,1992
1992-07-06,346.40,1992
1992-07-03,346.00,1992
1992-07-02,346.00,1992
1992-07-01,343.90,1992
1992-06-30,343.00,1992
1992-06-29,343.45,1992
1992-06-26,342.35,1992
1992-06-25,342.80,1992
1992-06-24,342.65,1992
1992-06-23,344.10,1992
1992-06-22,343.20,1992
1992-06-19,340.70,1992
1992-06-18,342.25,1992
1992-06-17,341.35,1992
1992-06-16,341.90,1992
1992-06-15,342.50,1992
1992-06-12,342.50,1992
1992-06-11,340.00,1992
1992-06-10,337.65,1992
1992-06-09,337.80,1992
1992-06-08,337.90,1992
1992-06-05,338.50,1992
1992-06-04,338.50,1992
1992-06-03,338.25,1992
1992-06-02,338.70,1992
1992-06-01,337.60,1992
1992-05-29,336.30,1992
1992-05-28,337.05,1992
1992-05-27,337.55,1992
1992-05-26,337.90,1992
1992-05-25,338.10,1992
1992-05-22,337.60,1992
1992-05-21,336.90,1992
1992-05-20,337.65,1992
1992-05-19,337.55,1992
1992-05-18,338.40,1992
1992-05-15,338.40,1992
1992-05-14,337.40,1992
1992-05-13,335.60,1992
1992-05-12,334.75,1992
1992-05-11,336.25,1992
1992-05-08,335.40,1992
1992-05-07,335.20,1992
1992-05-06,336.50,1992
1992-05-05,336.80,1992
1992-05-04,336.50,1992
1992-05-01,338.30,1992
1992-04-30,336.90,1992
1992-04-29,335.50,1992
1992-04-28,336.05,1992
1992-04-27,335.90,1992
1992-04-24,336.30,1992
1992-04-23,338.10,1992
1992-04-22,338.40,1992
1992-04-21,340.10,1992
1992-04-20,336.75,1992
1992-04-17,337.50,1992
1992-04-16,337.10,1992
1992-04-15,335.65,1992
1992-04-14,339.25,1992
1992-04-13,339.10,1992
1992-04-10,340.80,1992
1992-04-09,339.35,1992
1992-04-08,337.60,1992
1992-04-07,338.30,1992
1992-04-06,339.80,1992
1992-04-03,340.70,1992
1992-04-02,340.30,1992
1992-04-01,342.30,1992
1992-03-31,343.15,1992
