date,price
"Dec 29, 2017","6,396.42"
"Dec 28, 2017","6,441.42"
"Dec 27, 2017","6,435.15"
"Dec 26, 2017","6,433.16"
"Dec 22, 2017","6,465.17"
"Dec 21, 2017","6,472.69"
"Dec 20, 2017","6,472.48"
"Dec 19, 2017","6,480.67"
"Dec 18, 2017","6,513.27"
"Dec 15, 2017","6,466.32"
"Dec 14, 2017","6,389.91"
"Dec 13, 2017","6,394.67"
"Dec 12, 2017","6,383.65"
"Dec 11, 2017","6,393.89"
"Dec 08, 2017","6,344.57"
"Dec 07, 2017","6,316.28"
"Dec 06, 2017","6,293.05"
"Dec 05, 2017","6,265.11"
"Dec 04, 2017","6,263.70"
"Dec 01, 2017","6,337.87"
"Nov 30, 2017","6,365.56"
"Nov 29, 2017","6,311.38"
"Nov 28, 2017","6,422.56"
"Nov 27, 2017","6,405.97"
"Nov 24, 2017","6,409.29"
"Nov 22, 2017","6,386.12"
"Nov 21, 2017","6,378.63"
"Nov 20, 2017","6,308.61"
"Nov 17, 2017","6,314.51"
"Nov 16, 2017","6,339.14"
"Nov 15, 2017","6,258.36"
"Nov 14, 2017","6,293.64"
"Nov 13, 2017","6,316.18"
"Nov 10, 2017","6,309.07"
"Nov 09, 2017","6,312.21"
"Nov 08, 2017","6,345.81"
"Nov 07, 2017","6,320.78"
"Nov 06, 2017","6,313.61"
"Nov 03, 2017","6,295.58"
"Nov 02, 2017","6,236.39"
"Nov 01, 2017","6,248.65"
"Oct 31, 2017","6,248.56"
"Oct 30, 2017","6,227.59"
"Oct 27, 2017","6,213.47"
"Oct 26, 2017","6,037.87"
"Oct 25, 2017","6,055.04"
"Oct 24, 2017","6,080.22"
"Oct 23, 2017","6,067.83"
"Oct 20, 2017","6,108.82"
"Oct 19, 2017","6,092.62"
"Oct 18, 2017","6,114.35"
"Oct 17, 2017","6,122.61"
"Oct 16, 2017","6,114.53"
"Oct 13, 2017","6,092.45"
"Oct 12, 2017","6,069.99"
"Oct 11, 2017","6,081.25"
"Oct 10, 2017","6,063.52"
"Oct 09, 2017","6,058.53"
"Oct 06, 2017","6,064.57"
"Oct 05, 2017","6,057.14"
"Oct 04, 2017","5,998.84"
"Oct 03, 2017","5,995.06"
"Oct 02, 2017","5,981.92"
"Sep 29, 2017","5,979.30"
"Sep 28, 2017","5,933.07"
"Sep 27, 2017","5,937.79"
"Sep 26, 2017","5,881.34"
"Sep 25, 2017","5,867.35"
"Sep 22, 2017","5,932.32"
"Sep 21, 2017","5,934.91"
"Sep 20, 2017","5,973.61"
"Sep 19, 2017","5,991.08"
"Sep 18, 2017","5,981.12"
"Sep 15, 2017","5,988.00"
"Sep 14, 2017","5,968.82"
"Sep 13, 2017","6,004.38"
"Sep 12, 2017","5,995.64"
"Sep 11, 2017","5,980.53"
"Sep 08, 2017","5,913.37"
"Sep 07, 2017","5,964.31"
"Sep 06, 2017","5,951.13"
"Sep 05, 2017","5,932.73"
"Sep 01, 2017","5,987.90"
"Aug 31, 2017","5,988.60"
"Aug 30, 2017","5,932.90"
"Aug 29, 2017","5,862.14"
"Aug 28, 2017","5,838.08"
"Aug 25, 2017","5,822.53"
"Aug 24, 2017","5,834.44"
"Aug 23, 2017","5,851.78"
"Aug 22, 2017","5,873.33"
"Aug 21, 2017","5,786.54"
"Aug 18, 2017","5,790.91"
"Aug 17, 2017","5,796.32"
"Aug 16, 2017","5,917.42"
"Aug 15, 2017","5,907.73"
"Aug 14, 2017","5,908.17"
"Aug 11, 2017","5,831.53"
"Aug 10, 2017","5,788.19"
"Aug 09, 2017","5,919.39"
"Aug 08, 2017","5,926.35"
"Aug 07, 2017","5,934.73"
"Aug 04, 2017","5,899.91"
"Aug 03, 2017","5,891.20"
"Aug 02, 2017","5,914.23"
"Aug 01, 2017","5,895.17"
"Jul 31, 2017","5,880.33"
"Jul 28, 2017","5,908.92"
"Jul 27, 2017","5,917.03"
"Jul 26, 2017","5,950.73"
"Jul 25, 2017","5,930.65"
"Jul 24, 2017","5,941.37"
"Jul 21, 2017","5,921.53"
"Jul 20, 2017","5,921.22"
"Jul 19, 2017","5,916.16"
"Jul 18, 2017","5,880.10"
"Jul 17, 2017","5,839.74"
"Jul 14, 2017","5,838.08"
"Jul 13, 2017","5,793.36"
"Jul 12, 2017","5,778.95"
"Jul 11, 2017","5,709.80"
"Jul 10, 2017","5,694.15"
"Jul 07, 2017","5,656.47"
"Jul 06, 2017","5,597.90"
"Jul 05, 2017","5,648.82"
"Jul 03, 2017","5,596.96"
"Jun 30, 2017","5,646.92"
"Jun 29, 2017","5,653.02"
