"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","1,055.15","1,059.85","1,063.50","1,047.60","","0.64%"
"12/28/2017","1,048.45","1,046.70","1,050.00","1,046.70","0.00K","-0.55%"
"12/27/2017","1,054.30","1,045.90","1,061.00","1,042.40","","0.80%"
"12/26/2017","1,045.90","1,029.75","1,046.20","1,028.55","","1.64%"
"12/25/2017","1,029.05","1,027.60","1,030.00","1,027.60","","-0.23%"
"12/22/2017","1,031.45","1,029.83","1,034.39","1,021.80","","0.21%"
"12/21/2017","1,029.28","1,021.40","1,030.85","1,019.15","","0.79%"
"12/20/2017","1,021.17","1,016.88","1,028.62","1,015.33","","0.35%"
"12/19/2017","1,017.58","1,015.35","1,018.95","1,010.50","","0.21%"
"12/18/2017","1,015.40","1,014.80","1,019.70","1,006.70","","0.08%"
"12/17/2017","1,014.58","1,017.13","1,017.22","1,014.58","","-0.23%"
"12/15/2017","1,016.88","1,024.72","1,028.90","1,012.97","","-0.78%"
"12/14/2017","1,024.89","1,007.62","1,029.77","995.10","","1.72%"
"12/13/2017","1,007.60","1,001.95","1,008.28","997.50","","0.56%"
"12/12/2017","1,001.98","1,000.60","1,003.17","991.45","","0.13%"
"12/11/2017","1,000.70","999.12","1,004.70","993.25","","0.18%"
"12/10/2017","998.92","998.38","998.95","998.20","","0.06%"
"12/08/2017","998.33","1,006.75","1,009.80","990.20","","-0.81%"
"12/07/2017","1,006.45","988.10","1,011.70","985.67","","1.86%"
"12/06/2017","988.12","979.42","988.42","978.35","","0.89%"
"12/05/2017","979.38","991.52","994.75","973.80","","-1.21%"
"12/04/2017","991.42","1,016.38","1,016.75","986.52","","-2.47%"
"12/03/2017","1,016.52","1,014.38","1,017.23","1,013.60","","0.09%"
"12/01/2017","1,015.65","1,005.92","1,018.38","1,001.67","","0.99%"
"11/30/2017","1,005.72","1,012.23","1,015.78","1,000.80","","-0.66%"
"11/29/2017","1,012.38","1,022.48","1,022.58","1,006.60","","-0.98%"
"11/28/2017","1,022.42","1,001.45","1,023.85","995.17","","2.12%"
"11/27/2017","1,001.22","993.90","1,002.90","987.90","","0.74%"
"11/26/2017","993.85","993.33","994.02","992.80","","-0.05%"
"11/24/2017","994.30","1,007.30","1,007.88","991.92","","-1.36%"
"11/23/2017","1,008.02","1,000.95","1,009.25","995.85","","0.69%"
"11/22/2017","1,001.08","997.88","1,003.20","994.22","","0.33%"
"11/21/2017","997.83","987.27","998.85","984.85","","1.07%"
"11/20/2017","987.25","992.02","998.25","983.15","","-0.48%"
"11/19/2017","992.05","991.70","992.75","990.92","","-0.11%"
"11/17/2017","993.10","988.03","995.38","985.88","","0.52%"
"11/16/2017","987.98","985.77","988.47","979.67","","0.32%"
"11/15/2017","984.85","988.02","989.12","973.72","","-0.30%"
"11/14/2017","987.85","988.95","996.98","973.67","","-0.07%"
"11/13/2017","988.50","994.38","1,000.42","987.10","","-0.58%"
"11/12/2017","994.30","993.77","994.38","992.80","","0.14%"
"11/10/2017","992.90","1,010.12","1,010.67","991.70","","-1.71%"
"11/09/2017","1,010.15","1,013.60","1,023.17","1,002.17","","-0.34%"
"11/08/2017","1,013.62","993.92","1,016.98","992.00","","1.89%"
"11/07/2017","994.80","997.77","999.20","990.75","","-0.30%"
