Date,Open,High,Low,Close,Adj Close,Volume
1997-09-05,1.375000,1.375000,1.312500,1.375000,0.645811,6400
1997-09-08,1.375000,1.375000,1.375000,1.375000,0.645811,0
1997-09-09,1.375000,1.375000,1.296875,1.375000,0.645811,9600
1997-09-10,1.367188,1.367188,1.296875,1.367188,0.642142,36000
1997-09-11,1.406250,1.406250,1.357422,1.406250,0.660488,144000
1997-09-12,1.406250,1.406250,1.406250,1.406250,0.660488,0
1997-09-15,1.318359,1.343750,1.312500,1.318359,0.619208,10400
1997-09-16,1.318359,1.318359,1.318359,1.318359,0.619208,0
1997-09-17,1.318359,1.318359,1.318359,1.318359,0.619208,0
1997-09-18,1.353516,1.375000,1.345703,1.353516,0.635720,164800
1997-09-19,1.353516,1.353516,1.353516,1.353516,0.635720,0
1997-09-22,1.367188,1.367188,1.355469,1.367188,0.642142,171200
1997-09-23,1.367188,1.367188,1.367188,1.367188,0.642142,0
1997-09-24,1.375000,1.375000,1.359375,1.375000,0.645811,108800
1997-09-25,1.343750,1.369141,1.343750,1.343750,0.631134,72800
1997-09-26,1.390625,1.390625,1.390625,1.390625,0.653150,9600
1997-09-29,1.406250,1.406250,1.406250,1.406250,0.660488,39200
1997-09-30,1.437500,1.500000,1.433594,1.437500,0.675166,995200
1997-10-01,1.458984,1.500000,1.453125,1.458984,0.685257,364000
1997-10-02,1.484375,1.484375,1.421875,1.484375,0.697182,116800
1997-10-03,1.500000,1.500000,1.421875,1.500000,0.704521,45600
1997-10-06,1.453125,1.453125,1.421875,1.453125,0.682505,12800
1997-10-07,1.406250,1.406250,1.406250,1.406250,0.660488,14400
1997-10-08,1.455078,1.484375,1.421875,1.455078,0.683422,132000
1997-10-09,1.484375,1.484375,1.421875,1.484375,0.697182,14400
1997-10-10,1.421875,1.484375,1.406250,1.421875,0.667827,37600
1997-10-13,1.406250,1.421875,1.406250,1.406250,0.660488,11200
1997-10-14,1.453125,1.468750,1.437500,1.453125,0.682505,43200
1997-10-15,1.468750,1.531250,1.453125,1.468750,0.689843,1010400
1997-10-16,1.500000,1.500000,1.484375,1.500000,0.704521,32800
1997-10-17,1.484375,1.484375,1.484375,1.484375,0.697182,3200
1997-10-20,1.531250,1.531250,1.531250,1.531250,0.719199,4800
1997-10-21,1.562500,1.562500,1.546875,1.562500,0.733876,32000
1997-10-22,1.599609,1.609375,1.562500,1.599609,0.751306,948800
1997-10-23,1.593750,1.593750,1.546875,1.593750,0.748554,267200
1997-10-24,1.515625,1.562500,1.484375,1.515625,0.711860,343200
1997-10-27,1.437500,1.500000,1.437500,1.437500,0.675166,90400
1997-10-28,1.437500,1.437500,1.437500,1.437500,0.675166,0
1997-10-29,1.328125,1.375000,1.312500,1.328125,0.623795,982400
1997-10-30,1.281250,1.281250,1.281250,1.281250,0.601779,16800
1997-10-31,1.265625,1.281250,1.263672,1.265625,0.594440,96000
1997-11-03,1.312500,1.312500,1.250000,1.312500,0.616456,22400
1997-11-04,1.218750,1.296875,1.218750,1.218750,0.572423,87200
1997-11-05,1.281250,1.281250,1.281250,1.281250,0.601779,14400
1997-11-06,1.296875,1.296875,1.234375,1.296875,0.609117,6400
1997-11-07,1.250000,1.250000,1.187500,1.250000,0.587101,205600
1997-11-10,1.203125,1.203125,1.203125,1.203125,0.565085,800
1997-11-11,1.203125,1.203125,1.203125,1.203125,0.565085,0
1997-11-12,1.234375,1.234375,1.125000,1.234375,0.579762,30400
1997-11-13,1.218750,1.234375,1.187500,1.218750,0.572423,31200
1997-11-14,1.218750,1.218750,1.218750,1.218750,0.572423,4800
1997-11-17,1.187500,1.187500,1.109375,1.187500,0.557746,42400
1997-11-18,1.138672,1.187500,1.103516,1.138672,0.534812,724000
1997-11-19,1.179688,1.187500,1.140625,1.179688,0.554077,163200
1997-11-20,1.125000,1.125000,1.125000,1.125000,0.528391,37600
1997-11-21,1.203125,1.203125,1.156250,1.203125,0.565085,120800
1997-11-24,1.187500,1.187500,1.187500,1.187500,0.557746,27200
1997-11-25,1.171875,1.171875,1.171875,1.171875,0.550407,136000
1997-11-26,1.187500,1.187500,1.125000,1.187500,0.557746,61600
1997-11-28,1.062500,1.187500,1.062500,1.062500,0.499036,135200
1997-12-01,1.109375,1.187500,1.109375,1.109375,0.521052,67200
1997-12-02,1.140625,1.171875,1.140625,1.140625,0.535730,25600
1997-12-03,1.156250,1.187500,1.140625,1.156250,0.543068,984800
1997-12-04,1.156250,1.171875,1.140625,1.156250,0.543068,176000
1997-12-05,1.156250,1.218750,1.156250,1.156250,0.543068,96800
1997-12-08,1.156250,1.156250,1.140625,1.156250,0.543068,81600
1997-12-09,1.125000,1.146484,1.109375,1.125000,0.528391,290400
1997-12-10,1.187500,1.187500,1.125000,1.187500,0.557746,79200
1997-12-11,1.093750,1.125000,1.062500,1.093750,0.513713,28000
1997-12-12,1.093750,1.093750,1.093750,1.093750,0.513713,1600
1997-12-15,1.078125,1.078125,1.078125,1.078125,0.506375,71200
1997-12-16,1.078125,1.140625,1.078125,1.078125,0.506375,15200
1997-12-17,1.156250,1.156250,1.109375,1.156250,0.543068,127200
1997-12-18,1.125000,1.125000,1.109375,1.125000,0.528391,20000
1997-12-19,1.109375,1.109375,1.109375,1.109375,0.521052,20000
1997-12-22,1.093750,1.156250,1.093750,1.093750,0.513713,33600
1997-12-23,1.109375,1.109375,1.109375,1.109375,0.521052,800
1997-12-24,1.109375,1.109375,1.109375,1.109375,0.521052,0
1997-12-26,1.093750,1.093750,1.093750,1.093750,0.513713,8000
1997-12-29,1.109375,1.171875,1.109375,1.109375,0.521052,103200
1997-12-30,1.187500,1.187500,1.125000,1.187500,0.557746,172000
1997-12-31,1.187500,1.218750,1.125000,1.187500,0.557746,180800
1998-01-02,1.187500,1.187500,1.187500,1.187500,0.557746,0
1998-01-05,1.187500,1.187500,1.125000,1.187500,0.557746,108800
1998-01-06,1.187500,1.187500,1.187500,1.187500,0.557746,0
1998-01-07,1.156250,1.156250,1.125000,1.156250,0.543068,24000
1998-01-08,1.093750,1.109375,1.078125,1.093750,0.513713,17600
1998-01-09,1.078125,1.125000,1.046875,1.078125,0.506375,75200
1998-01-12,1.078125,1.078125,1.078125,1.078125,0.506375,0
1998-01-13,0.890625,0.921875,0.859375,0.890625,0.418310,659200
1998-01-14,0.968750,1.015625,0.968750,0.968750,0.455003,1295200
1998-01-15,1.031250,1.031250,0.968750,1.031250,0.484358,246400
1998-01-16,1.093750,1.093750,1.062500,1.093750,0.513713,256000
1998-01-20,1.109375,1.109375,1.046875,1.109375,0.521052,8800
1998-01-21,1.078125,1.078125,1.046875,1.078125,0.506375,1600
1998-01-22,1.078125,1.109375,1.078125,1.078125,0.506375,13600
1998-01-23,1.125000,1.171875,1.125000,1.125000,0.528391,172000
1998-01-26,1.125000,1.125000,1.125000,1.125000,0.528391,0
1998-01-27,1.109375,1.109375,1.109375,1.109375,0.521052,1600
1998-01-28,1.203125,1.203125,1.187500,1.203125,0.565085,160800
1998-01-29,1.203125,1.203125,1.203125,1.203125,0.565085,0
1998-01-30,1.234375,1.234375,1.171875,1.234375,0.579762,24000
1998-02-02,1.234375,1.234375,1.156250,1.234375,0.579762,211200
1998-02-03,1.234375,1.234375,1.234375,1.234375,0.579762,0
1998-02-04,1.125000,1.125000,1.046875,1.125000,0.528391,12800
