date,price,year
1992-12-31,3.68,1992
1992-12-30,3.68,1992
1992-12-29,3.66,1992
1992-12-28,3.68,1992
1992-12-25,3.68,1992
1992-12-24,3.68,1992
1992-12-23,3.70,1992
1992-12-22,3.70,1992
1992-12-21,3.74,1992
1992-12-18,3.77,1992
1992-12-17,3.78,1992
1992-12-16,3.74,1992
1992-12-15,3.70,1992
1992-12-14,3.72,1992
1992-12-11,3.72,1992
1992-12-10,3.72,1992
1992-12-09,3.71,1992
1992-12-08,3.75,1992
1992-12-07,3.76,1992
1992-12-04,3.76,1992
1992-12-03,3.75,1992
1992-12-02,3.75,1992
1992-12-01,3.74,1992
1992-11-30,3.75,1992
1992-11-27,3.75,1992
1992-11-26,3.76,1992
1992-11-25,3.75,1992
1992-11-24,3.76,1992
1992-11-23,3.75,1992
1992-11-20,3.76,1992
1992-11-19,3.76,1992
1992-11-18,3.75,1992
1992-11-17,3.76,1992
1992-11-16,3.75,1992
1992-11-13,3.75,1992
1992-11-12,3.78,1992
1992-11-11,3.67,1992
1992-11-10,3.65,1992
1992-11-09,3.71,1992
1992-11-06,3.88,1992
1992-11-05,3.93,1992
1992-11-04,3.85,1992
1992-11-03,3.78,1992
1992-11-02,3.78,1992
1992-10-30,3.76,1992
1992-10-29,3.76,1992
1992-10-28,3.76,1992
1992-10-27,3.76,1992
1992-10-26,3.76,1992
1992-10-23,3.80,1992
1992-10-22,3.78,1992
1992-10-21,3.80,1992
1992-10-20,3.79,1992
1992-10-19,3.73,1992
1992-10-16,3.73,1992
1992-10-15,3.70,1992
1992-10-14,3.70,1992
1992-10-13,3.71,1992
1992-10-12,3.75,1992
1992-10-09,3.78,1992
1992-10-08,3.75,1992
1992-10-07,3.74,1992
1992-10-06,3.75,1992
1992-10-05,3.76,1992
1992-10-02,3.77,1992
1992-10-01,3.72,1992
1992-09-30,3.75,1992
1992-09-29,3.76,1992
1992-09-28,3.75,1992
1992-09-25,3.82,1992
1992-09-24,3.84,1992
1992-09-23,3.81,1992
1992-09-22,3.84,1992
1992-09-21,3.82,1992
1992-09-18,3.85,1992
1992-09-17,3.78,1992
1992-09-16,3.83,1992
1992-09-15,3.82,1992
1992-09-14,3.78,1992
1992-09-11,3.70,1992
1992-09-10,3.71,1992
1992-09-09,3.72,1992
1992-09-08,3.72,1992
