,date,year,gold,agnico,coal,copper,dax,dji,djt,eur,gbp,nasdaq,newmont,n_gas,oil,palladium,platinum,rgold,rio,silver,snp
0,2016-01-04,2016,1078.47,26.94,49.9,25.66,348.83,17148.94,7352.59,1.08,1.47,4903.09,18.44,2.33,36.76,544.55,881.65,37.18,28.41,13.98,2012.66
1,2016-01-05,2016,1079.33,27.62,50.25,25.95,350.98,17158.66,7363.95,1.07,1.47,4891.43,18.42,2.33,35.97,536.2,890.3,36.49,28.65,13.97,2016.71
2,2016-01-06,2016,1098.9,28.45,51.5,25.2,350.07,16906.51,7217.05,1.08,1.46,4835.76,18.56,2.27,33.97,505.6,879.55,37.02,27.03,14.07,1990.26
3,2016-01-07,2016,1103.45,29.99,51.25,24.56,341.24,16514.1,6995.39,1.09,1.46,4689.43,18.86,2.38,33.27,493.5,875.55,38.74,25.81,14.2,1943.09
4,2016-01-08,2016,1104.32,29.56,50.25,24.07,338.23,16346.45,6946.36,1.09,1.45,4643.63,18.01,2.47,33.16,494.2,880.0,37.59,25.07,13.94,1922.03
5,2016-01-11,2016,1095.9,28.59,49.3,23.39,333.51,16398.57,6914.56,1.09,1.45,4637.99,17.01,2.4,31.41,474.95,849.0,33.44,24.74,13.85,1923.67
6,2016-01-12,2016,1085.26,28.53,49.1,22.77,334.62,16516.22,6978.21,1.09,1.44,4685.92,17.01,2.26,30.44,470.45,833.2,31.02,24.02,13.82,1938.68
7,2016-01-13,2016,1091.53,28.98,48.85,22.66,331.44,16151.41,6721.37,1.09,1.44,4526.06,17.48,2.27,30.48,486.35,848.5,30.76,23.81,14.08,1890.28
8,2016-01-14,2016,1080.67,27.87,49.2,22.87,324.97,16379.05,6799.92,1.09,1.44,4615.0,17.27,2.14,31.2,491.4,836.05,29.2,25.2,13.85,1921.84
9,2016-01-15,2016,1088.72,28.01,49.15,22.71,316.61,15988.08,6689.06,1.09,1.43,4488.42,17.7,2.1,29.42,487.2,830.95,28.38,23.62,13.92,1880.33
10,2016-01-18,2016,1089.1,27.4,48.8,22.5,315.43,16002.05,6673.13,1.09,1.42,4482.69,17.0,2.1,30.02,492.4,820.85,27.73,23.47,13.95,1880.83
11,2016-01-19,2016,1091.44,26.78,48.85,22.29,320.92,16016.02,6657.2,1.09,1.42,4476.95,16.31,2.09,28.46,497.1,827.8,27.08,23.32,14.03,1881.33
12,2016-01-20,2016,1103.41,26.87,49.0,22.66,311.49,15766.74,6625.53,1.09,1.42,4471.69,16.56,2.12,26.55,489.25,823.8,25.33,22.7,14.18,1859.33
13,2016-01-21,2016,1098.75,27.24,49.0,23.01,318.72,15882.68,6689.97,1.09,1.42,4472.06,16.69,2.14,29.53,499.25,820.0,25.79,23.87,14.1,1868.99
14,2016-01-22,2016,1097.77,27.28,49.0,23.62,327.39,16093.51,6778.54,1.08,1.43,4591.18,16.68,2.14,32.19,500.25,831.75,26.44,23.77,14.03,1906.9
15,2016-01-25,2016,1112.45,27.9,48.95,23.49,324.98,15885.22,6651.78,1.08,1.42,4518.49,17.67,2.16,30.34,491.85,859.3,27.28,22.83,14.28,1877.08
16,2016-01-26,2016,1120.64,28.75,49.25,24.99,319.46,16167.23,6815.76,1.09,1.44,4567.67,18.5,2.18,31.45,493.25,875.6,28.86,24.39,14.48,1903.63
17,2016-01-27,2016,1120.1,28.95,48.8,24.74,318.76,15944.46,6756.12,1.09,1.42,4468.17,19.44,2.19,32.3,502.7,882.1,30.1,24.1,14.43,1882.95
18,2016-01-28,2016,1114.36,28.97,48.85,24.98,309.63,16069.64,6701.97,1.09,1.44,4506.68,19.53,2.18,33.22,492.5,869.0,28.76,24.46,14.25,1893.36
19,2016-01-29,2016,1118.39,29.44,48.8,25.92,313.89,16466.3,6906.76,1.08,1.42,4613.95,19.96,2.3,33.62,499.0,871.85,29.79,24.65,14.27,1940.24
20,2016-02-01,2016,1125.65,30.07,49.95,25.38,315.26,16449.18,6968.83,1.09,1.44,4620.37,20.55,2.15,31.62,502.85,872.5,30.88,24.5,14.29,1939.38
21,2016-02-02,2016,1128.2,29.76,50.4,24.18,310.15,16153.54,6764.16,1.09,1.44,4516.95,20.07,2.02,29.88,491.75,856.5,29.81,23.25,14.29,1903.03
22,2016-02-03,2016,1143.11,31.4,50.45,25.43,300.73,16336.66,6834.76,1.11,1.46,4504.24,22.34,2.04,32.28,516.05,881.25,31.85,25.05,14.68,1912.53
23,2016-02-04,2016,1154.85,32.73,50.95,26.93,296.6,16416.58,7051.25,1.12,1.46,4509.56,23.38,1.97,31.72,516.1,908.85,35.94,26.96,14.84,1915.45
24,2016-02-05,2016,1173.46,33.51,51.6,26.5,296.14,16204.97,6942.82,1.12,1.45,4363.14,24.41,2.06,30.89,499.35,913.7,39.22,26.21,15.0,1880.05
25,2016-02-08,2016,1191.45,33.91,51.5,26.08,283.47,16027.05,6924.31,1.12,1.44,4283.75,25.19,2.14,29.69,518.8,929.35,40.96,26.43,15.36,1853.44
26,2016-02-09,2016,1191.44,33.11,50.45,25.38,281.87,16014.38,6996.3,1.13,1.45,4268.76,24.3,2.1,27.94,517.6,934.65,38.11,25.36,15.22,1852.21
27,2016-02-10,2016,1206.25,33.3,50.4,25.1,288.76,15914.74,6983.94,1.13,1.45,4283.59,24.31,2.05,27.45,525.5,937.35,39.01,25.25,15.35,1851.86
28,2016-02-11,2016,1239.06,35.33,50.7,24.88,279.16,15660.18,6883.49,1.13,1.45,4266.84,25.04,1.99,26.21,525.2,956.65,40.45,24.59,15.67,1829.08
29,2016-02-11,2016,1239.06,35.33,50.7,24.65,279.16,15660.18,6883.49,1.13,1.45,4266.84,25.04,1.99,26.21,525.2,956.65,40.45,24.59,15.67,1829.08
30,2016-02-12,2016,1237.77,35.64,50.7,26.37,281.51,15973.84,7048.69,1.13,1.45,4337.51,25.78,1.97,29.44,527.75,958.15,41.74,26.52,15.75,1864.78
31,2016-02-15,2016,1209.52,34.88,50.7,26.38,293.17,16085.12,7129.12,1.12,1.44,4386.73,25.17,1.92,30.6,513.67,937.8,40.78,26.68,15.33,1880.18
32,2016-02-16,2016,1206.28,34.12,50.7,26.4,295.44,16196.41,7209.56,1.11,1.43,4435.96,24.56,1.9,29.04,510.3,935.8,39.82,26.84,15.3,1895.58
33,2016-02-17,2016,1209.41,33.9,50.85,25.49,301.39,16453.83,7326.45,1.11,1.43,4534.06,24.84,1.94,30.66,516.5,944.3,41.53,27.63,15.29,1926.82
34,2016-02-18,2016,1225.96,35.06,50.9,24.25,304.62,16413.43,7284.73,1.11,1.43,4487.54,25.07,1.85,30.77,505.45,948.2,44.31,27.16,15.38,1917.83
35,2016-02-19,2016,1226.24,34.63,50.5,23.75,300.29,16391.99,7285.95,1.11,1.44,4504.43,24.84,1.8,29.64,499.75,940.45,43.35,27.37,15.34,1917.78
36,2016-02-22,2016,1216.24,34.65,50.3,24.96,307.22,16620.66,7421.11,1.1,1.42,4570.61,25.12,1.82,31.48,500.5,930.2,44.41,29.11,15.24,1945.5
37,2016-02-23,2016,1227.57,35.25,50.3,24.33,303.63,16431.78,7325.17,1.1,1.4,4503.58,25.39,1.78,31.87,500.35,945.2,44.29,27.99,15.29,1921.27
38,2016-02-24,2016,1233.96,35.21,50.35,24.33,296.67,16484.99,7290.88,1.1,1.39,4542.61,25.58,1.78,32.15,488.7,937.75,44.82,26.97,15.26,1929.8
39,2016-02-24,2016,1233.96,35.21,50.35,24.33,296.67,16484.99,7290.88,1.1,1.39,4542.61,25.58,1.78,32.15,488.7,937.75,44.82,25.95,15.26,1929.8
40,2016-02-25,2016,1239.38,35.63,50.35,24.46,307.93,16697.29,7369.58,1.1,1.4,4582.2,25.85,1.71,33.07,483.55,927.4,44.49,25.66,15.14,1951.7
41,2016-02-26,2016,1222.95,34.55,50.45,24.63,310.39,16639.97,7405.03,1.09,1.39,4590.47,25.35,1.79,32.78,482.45,915.15,44.82,25.52,14.7,1948.05
42,2016-02-29,2016,1244.31,35.2,50.5,23.94,310.65,16516.5,7345.03,1.09,1.39,4557.95,25.83,1.71,33.75,495.65,934.05,46.37,26.1,14.95,1932.23
43,2016-03-01,2016,1226.93,33.45,50.85,24.74,314.42,16865.08,7500.3,1.09,1.39,4689.6,25.39,1.74,34.4,517.35,937.5,44.99,26.96,14.8,1978.35
