,date,year,gold,agnico,coal,copper,dax,dji,djt,eur,gbp,nasdaq,newmont,n_gas,oil,palladium,platinum,rgold,rio,silver,snp
0,2016-01-04,2016,1078.47,26.940001,49.9,25.66,348.83,"17,148.94","7,352.59",1.0831,1.4718,4903.089844,18.44,2.334,36.76,544.55,881.65,37.18,28.41,13.98,"2,012.66"
1,2016-01-05,2016,1079.33,27.620001,50.25,25.95,350.98,"17,158.66","7,363.95",1.0748,1.4672,4891.430176,18.42,2.325,35.97,536.20,890.30,36.490002,28.65,13.97,"2,016.71"
2,2016-01-06,2016,1098.9,28.450001,51.5,25.2,350.07,"16,906.51","7,217.05",1.0781,1.4627,4835.759766,18.56,2.267,33.97,505.60,879.55,37.02,27.03,14.07,"1,990.26"
3,2016-01-07,2016,1103.45,29.99,51.25,24.56,341.24,"16,514.10","6,995.39",1.0936,1.4617,4689.430176,18.86,2.382,33.27,493.50,875.55,38.740002,25.81,14.2,"1,943.09"
4,2016-01-08,2016,1104.32,29.559999,50.25,24.07,338.23,"16,346.45","6,946.36",1.0932,1.452,4643.629883,18.01,2.472,33.16,494.20,880.00,37.59,25.07,13.94,"1,922.03"
5,2016-01-11,2016,1095.9,28.59,49.3,23.39,333.51,"16,398.57","6,914.56",1.086,1.4544,4637.990234,17.01,2.396,31.41,474.95,849.00,33.439999,24.74,13.85,"1,923.67"
6,2016-01-12,2016,1085.26,28.530001,49.1,22.77,334.62,"16,516.22","6,978.21",1.0857,1.4444,4685.919922,17.01,2.257,30.44,470.45,833.20,31.02,24.02,13.82,"1,938.68"
7,2016-01-13,2016,1091.53,28.98,48.85,22.66,331.44,"16,151.41","6,721.37",1.0877,1.4407,4526.060059,17.48,2.269,30.48,486.35,848.50,30.76,23.81,14.08,"1,890.28"
8,2016-01-14,2016,1080.67,27.870001,49.2,22.87,324.97,"16,379.05","6,799.92",1.0865,1.4414,4615.0,17.27,2.139,31.2,491.40,836.05,29.200001,25.2,13.85,"1,921.84"
9,2016-01-15,2016,1088.72,28.01,49.15,22.71,316.61,"15,988.08","6,689.06",1.0917,1.4258,4488.419922,17.7,2.1,29.42,487.20,830.95,28.379999,23.62,13.92,"1,880.33"
10,2016-01-18,2016,1089.1,,48.8,,315.43,,,1.0892,1.4244,,,2.105,30.02,492.40,820.85,,,13.95,
11,2016-01-19,2016,1091.44,26.780001,48.85,22.29,320.92,"16,016.02","6,657.20",1.0909,1.4158,4476.950195,16.31,2.091,28.46,497.10,827.80,27.08,23.32,14.03,"1,881.33"
12,2016-01-20,2016,1103.41,26.870001,49.0,22.66,311.49,"15,766.74","6,625.53",1.0891,1.4191,4471.689941,16.56,2.118,26.55,489.25,823.80,25.33,22.7,14.18,"1,859.33"
13,2016-01-21,2016,1098.75,27.24,49.0,23.01,318.72,"15,882.68","6,689.97",1.0874,1.4218,4472.060059,16.69,2.138,29.53,499.25,820.00,25.790001,23.87,14.1,"1,868.99"
14,2016-01-22,2016,1097.77,27.280001,49.0,23.62,327.39,"16,093.51","6,778.54",1.0797,1.4265,4591.180176,16.68,2.139,32.19,500.25,831.75,26.440001,23.77,14.03,"1,906.90"
15,2016-01-25,2016,1112.45,27.9,48.95,23.49,324.98,"15,885.22","6,651.78",1.0849,1.4249,4518.490234,17.67,2.158,30.34,491.85,859.30,27.280001,22.83,14.28,"1,877.08"
16,2016-01-26,2016,1120.64,28.75,49.25,24.99,319.46,"16,167.23","6,815.76",1.0871,1.4352,4567.669922,18.5,2.18,31.45,493.25,875.60,28.860001,24.39,14.48,"1,903.63"
17,2016-01-27,2016,1120.1,28.950001,48.8,24.74,318.76,"15,944.46","6,756.12",1.0893,1.4234,4468.169922,19.44,2.189,32.3,502.70,882.10,30.1,24.1,14.43,"1,882.95"
18,2016-01-28,2016,1114.36,28.969999,48.85,24.98,309.63,"16,069.64","6,701.97",1.0939,1.4362,4506.680176,19.53,2.182,33.22,492.50,869.00,28.76,24.46,14.25,"1,893.36"
19,2016-01-29,2016,1118.39,29.440001,48.8,25.92,313.89,"16,466.30","6,906.76",1.0837,1.4247,4613.950195,19.96,2.298,33.62,499.00,871.85,29.790001,24.65,14.27,"1,940.24"
20,2016-02-01,2016,1125.65,30.07,49.95,25.38,315.26,"16,449.18","6,968.83",1.0888,1.4433,4620.370117,20.55,2.152,31.62,502.85,872.50,30.879999,24.5,14.29,"1,939.38"
21,2016-02-02,2016,1128.2,29.76,50.4,24.18,310.15,"16,153.54","6,764.16",1.0919,1.4411,4516.950195,20.07,2.025,29.88,491.75,856.50,29.809999,23.25,14.29,"1,903.03"
22,2016-02-03,2016,1143.11,31.4,50.45,25.43,300.73,"16,336.66","6,834.76",1.1104,1.4604,4504.240234,22.34,2.038,32.28,516.05,881.25,31.85,25.05,14.68,"1,912.53"
23,2016-02-04,2016,1154.85,32.73,50.95,26.93,296.6,"16,416.58","7,051.25",1.1208,1.4589,4509.560059,23.38,1.972,31.72,516.10,908.85,35.939999,26.96,14.84,"1,915.45"
24,2016-02-05,2016,1173.46,33.509998,51.6,26.5,296.14,"16,204.97","6,942.82",1.1159,1.4503,4363.140137,24.41,2.063,30.89,499.35,913.70,39.220001,26.21,15.0,"1,880.05"
25,2016-02-08,2016,1191.45,33.91,51.5,26.08,283.47,"16,027.05","6,924.31",1.1198,1.4432,4283.75,25.19,2.14,29.69,518.80,929.35,40.959999,26.43,15.36,"1,853.44"
26,2016-02-09,2016,1191.44,33.110001,50.45,25.38,281.87,"16,014.38","6,996.30",1.1293,1.4473,4268.759766,24.3,2.098,27.94,517.60,934.65,38.110001,25.36,15.22,"1,852.21"
27,2016-02-10,2016,1206.25,33.299999,50.4,25.1,288.76,"15,914.74","6,983.94",1.129,1.4522,4283.589844,24.31,2.046,27.45,525.50,937.35,39.009998,25.25,15.35,"1,851.86"
