"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","463.79","463.79","463.79","463.79","","-1.11%"
"12/29/2022","468.98","468.98","468.98","468.98","","0.23%"
"12/28/2022","467.92","467.92","467.92","467.92","","-0.45%"
"12/27/2022","470.03","470.03","470.03","470.03","","0.49%"
"12/23/2022","467.72","467.72","467.72","467.72","","0.70%"
"12/22/2022","464.49","464.49","464.49","464.49","","-1.53%"
"12/21/2022","471.71","471.71","471.71","471.71","","2.31%"
"12/20/2022","461.04","461.04","461.04","461.04","","-0.63%"
"12/19/2022","463.98","463.98","463.98","463.98","","-2.26%"
"12/16/2022","474.73","474.73","474.73","474.73","","-0.46%"
"12/15/2022","476.90","476.90","476.90","476.90","","-5.81%"
"12/14/2022","506.31","506.31","506.31","506.31","","-0.03%"
"12/13/2022","506.44","506.44","506.44","506.44","","2.55%"
"12/12/2022","493.86","493.86","493.86","493.86","","-0.74%"
"12/09/2022","497.52","497.52","497.52","497.52","","1.06%"
"12/08/2022","492.29","492.29","492.29","492.29","","-0.61%"
"12/07/2022","495.32","495.32","495.32","495.32","","-0.83%"
"12/06/2022","499.45","499.45","499.45","499.45","","-0.30%"
"12/05/2022","500.97","500.97","500.97","500.97","","-0.70%"
"12/02/2022","504.51","504.51","504.51","504.51","","1.70%"
"12/01/2022","496.09","496.09","496.09","496.09","","0.63%"
"11/30/2022","492.97","492.97","492.97","492.97","","0.19%"
"11/29/2022","492.04","492.04","492.04","492.04","","-0.41%"
"11/28/2022","494.06","494.06","494.06","494.06","","-0.54%"
"11/25/2022","496.73","496.73","496.73","496.73","","-0.14%"
"11/24/2022","497.43","497.43","497.43","497.43","","0.87%"
"11/23/2022","493.13","493.13","493.13","493.13","","-0.19%"
"11/22/2022","494.06","494.06","494.06","494.06","","0.13%"
"11/21/2022","493.41","493.41","493.41","493.41","","-0.97%"
"11/18/2022","498.25","498.25","498.25","498.25","","0.75%"
"11/17/2022","494.53","494.53","494.53","494.53","","0.03%"
"11/16/2022","494.37","494.37","494.37","494.37","","-1.80%"
"11/15/2022","503.45","503.45","503.45","503.45","","-0.45%"
"11/14/2022","505.71","505.71","505.71","505.71","","-0.34%"
"11/11/2022","507.45","507.45","507.45","507.45","","3.03%"
"11/10/2022","492.53","492.53","492.53","492.53","","5.39%"
"11/09/2022","467.32","467.32","467.32","467.32","","-1.26%"
"11/08/2022","473.27","473.27","473.27","473.27","","1.29%"
"11/07/2022","467.26","467.26","467.26","467.26","","1.02%"
"11/04/2022","462.53","462.53","462.53","462.53","","2.75%"
"11/03/2022","450.15","450.15","450.15","450.15","","-1.73%"
"11/02/2022","458.06","458.06","458.06","458.06","","-1.70%"
"11/01/2022","465.96","465.96","465.96","465.96","","-0.04%"
"10/31/2022","466.14","466.14","466.14","466.14","","1.04%"
"10/28/2022","461.33","461.33","461.33","461.33","","-1.74%"
"10/27/2022","469.49","469.49","469.49","469.49","","0.53%"
"10/26/2022","467.01","467.01","467.01","467.01","","1.58%"
"10/25/2022","459.76","459.76","459.76","459.76","","2.19%"
"10/24/2022","449.89","449.89","449.89","449.89","","1.42%"
"10/21/2022","443.60","443.60","443.60","443.60","","-1.22%"
"10/20/2022","449.06","449.06","449.06","449.06","","0.48%"
"10/19/2022","446.90","446.90","446.90","446.90","","0.05%"
"10/18/2022","446.69","446.69","446.69","446.69","","1.87%"
"10/17/2022","438.51","438.51","438.51","438.51","","1.38%"
"10/14/2022","432.56","432.56","432.56","432.56","","1.54%"
"10/13/2022","426.00","426.00","426.00","426.00","","1.44%"
"10/12/2022","419.95","419.95","419.95","419.95","","0.27%"
"10/11/2022","418.83","418.83","418.83","418.83","","0.05%"
"10/10/2022","418.64","418.64","418.64","418.64","","3.42%"
"10/07/2022","404.80","404.80","404.80","404.80","","-2.95%"
"10/06/2022","417.12","417.12","417.12","417.12","","0.27%"
"10/05/2022","415.98","415.98","415.98","415.98","","-1.98%"
"10/04/2022","424.37","424.37","424.37","424.37","","3.88%"
"10/03/2022","408.53","408.53","408.53","408.53","","0.89%"
"09/30/2022","404.92","404.92","404.92","404.92","","1.90%"
"09/29/2022","397.38","397.38","397.38","397.38","","-1.00%"
"09/28/2022","401.39","401.39","401.39","401.39","","0.94%"
"09/27/2022","397.64","397.64","397.64","397.64","","1.09%"
"09/26/2022","393.34","393.34","393.34","393.34","","-0.24%"
"09/23/2022","394.28","394.28","394.28","394.28","","-3.87%"
"09/22/2022","410.16","410.16","410.16","410.16","","-3.23%"
"09/21/2022","423.83","423.83","423.83","423.83","","-1.98%"
"09/20/2022","432.39","432.39","432.39","432.39","","-0.99%"
"09/19/2022","436.71","436.71","436.71","436.71","","0.27%"
"09/16/2022","435.53","435.53","435.53","435.53","","-5.76%"
"09/15/2022","462.17","462.17","462.17","462.17","","-0.34%"
