"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1.2097","1.2064","1.2109","1.2010","138.54K","0.37%"
"12/29/2022","1.2052","1.2016","1.2080","1.2013","117.12K","0.32%"
"12/28/2022","1.2013","1.2027","1.2126","1.2001","106.83K","-0.07%"
"12/27/2022","1.2021","1.2063","1.2114","1.2001","117.68K","-0.32%"
"12/26/2022","1.2060","1.2044","1.2083","1.2044","5.53K","0.02%"
"12/23/2022","1.2058","1.2044","1.2092","1.2018","142.07K","0.12%"
"12/22/2022","1.2043","1.2078","1.2149","1.1992","143.60K","-0.33%"
"12/21/2022","1.2083","1.2183","1.2194","1.2054","137.91K","-0.80%"
"12/20/2022","1.2181","1.2156","1.2224","1.2084","167.11K","0.29%"
"12/19/2022","1.2146","1.2150","1.2243","1.2119","140.17K","0.05%"
"12/16/2022","1.2140","1.2178","1.2225","1.2119","128.31K","-0.30%"
"12/15/2022","1.2176","1.2426","1.2433","1.2155","146.24K","-1.97%"
"12/14/2022","1.2421","1.2359","1.2448","1.2341","169.32K","0.54%"
"12/13/2022","1.2354","1.2274","1.2445","1.2247","141.25K","0.68%"
"12/12/2022","1.2270","1.2249","1.2300","1.2210","126.39K","0.12%"
"12/09/2022","1.2255","1.2234","1.2324","1.2206","143.35K","0.18%"
"12/08/2022","1.2233","1.2202","1.2249","1.2154","172.92K","0.28%"
"12/07/2022","1.2199","1.2136","1.2236","1.2105","178.00K","0.51%"
"12/06/2022","1.2137","1.2185","1.2270","1.2126","154.38K","-0.42%"
"12/05/2022","1.2188","1.2266","1.2346","1.2161","163.69K","-0.81%"
"12/02/2022","1.2287","1.2254","1.2301","1.2134","147.27K","0.28%"
"12/01/2022","1.2253","1.2056","1.2312","1.2053","171.62K","1.63%"
"11/30/2022","1.2056","1.1951","1.2089","1.1899","189.45K","0.86%"
"11/29/2022","1.1953","1.1954","1.2066","1.1944","132.09K","-0.04%"
"11/28/2022","1.1958","1.2078","1.2119","1.1939","127.43K","-1.12%"
"11/25/2022","1.2093","1.2112","1.2129","1.2057","111.45K","-0.14%"
"11/24/2022","1.2110","1.2054","1.2155","1.2047","146.88K","0.48%"
"11/23/2022","1.2052","1.1885","1.2082","1.1871","129.90K","1.42%"
"11/22/2022","1.1883","1.1825","1.1904","1.1817","137.99K","0.52%"
"11/21/2022","1.1821","1.1889","1.1903","1.1777","144.30K","-0.53%"
"11/18/2022","1.1884","1.1863","1.1952","1.1856","158.53K","0.19%"
"11/17/2022","1.1862","1.1914","1.1959","1.1762","155.16K","-0.39%"
"11/16/2022","1.1908","1.1866","1.1944","1.1831","162.76K","0.42%"
"11/15/2022","1.1858","1.1751","1.2027","1.1739","172.88K","0.90%"
"11/14/2022","1.1752","1.1805","1.1830","1.1709","153.74K","-0.70%"
"11/11/2022","1.1835","1.1716","1.1856","1.1646","171.21K","1.04%"
"11/10/2022","1.1713","1.1358","1.1733","1.1351","165.38K","3.14%"
"11/09/2022","1.1356","1.1543","1.1568","1.1333","156.17K","-1.56%"
"11/08/2022","1.1536","1.1513","1.1601","1.1429","154.18K","0.22%"
"11/07/2022","1.1511","1.1304","1.1543","1.1289","151.65K","1.20%"
"11/04/2022","1.1375","1.1166","1.1383","1.1148","156.27K","1.88%"
"11/03/2022","1.1165","1.1396","1.1423","1.1150","140.15K","-1.97%"
"11/02/2022","1.1389","1.1486","1.1566","1.1387","130.04K","-0.82%"
"11/01/2022","1.1483","1.1471","1.1567","1.1436","131.13K","0.12%"
"10/31/2022","1.1469","1.1609","1.1615","1.1458","133.83K","-1.21%"
"10/28/2022","1.1610","1.1563","1.1624","1.1503","142.25K","0.40%"
"10/27/2022","1.1564","1.1618","1.1647","1.1549","171.63K","-0.54%"
"10/26/2022","1.1627","1.1476","1.1640","1.1430","156.26K","1.40%"
"10/25/2022","1.1467","1.1281","1.1501","1.1270","145.01K","1.70%"
"10/24/2022","1.1275","1.1358","1.1410","1.1257","165.55K","-0.24%"
"10/21/2022","1.1302","1.1243","1.1316","1.1059","152.16K","0.61%"
"10/20/2022","1.1233","1.1223","1.1337","1.1171","183.15K","0.17%"
"10/19/2022","1.1214","1.1320","1.1359","1.1184","163.91K","-0.92%"
"10/18/2022","1.1318","1.1355","1.1411","1.1255","180.90K","-0.31%"
"10/17/2022","1.1353","1.1177","1.1441","1.1177","159.95K","1.64%"
"10/14/2022","1.1170","1.1330","1.1366","1.1151","191.89K","-1.40%"
"10/13/2022","1.1329","1.1106","1.1381","1.1056","161.87K","2.04%"
"10/12/2022","1.1103","1.0968","1.1135","1.0924","179.56K","1.28%"
"10/11/2022","1.0963","1.1058","1.1181","1.0952","171.94K","-0.83%"
"10/10/2022","1.1055","1.1084","1.1113","1.1019","182.05K","-0.26%"
"10/07/2022","1.1084","1.1163","1.1227","1.1055","155.56K","-0.66%"
"10/06/2022","1.1158","1.1328","1.1385","1.1114","175.69K","-1.48%"
"10/05/2022","1.1326","1.1476","1.1496","1.1226","174.53K","-1.28%"
"10/04/2022","1.1473","1.1325","1.1490","1.1280","162.20K","1.33%"
"10/03/2022","1.1322","1.1161","1.1336","1.1085","171.98K","1.45%"
"09/30/2022","1.1160","1.1115","1.1236","1.1023","169.04K","0.40%"
"09/29/2022","1.1115","1.0886","1.1121","1.0761","170.97K","2.08%"
"09/28/2022","1.0888","1.0733","1.0917","1.0539","188.63K","1.46%"
"09/27/2022","1.0731","1.0690","1.0840","1.0653","185.77K","0.44%"
"09/26/2022","1.0684","1.0858","1.0933","1.0384","180.54K","-1.58%"
"09/23/2022","1.0856","1.1256","1.1275","1.0838","155.80K","-3.56%"
"09/22/2022","1.1257","1.1269","1.1366","1.1212","168.64K","-0.08%"
"09/21/2022","1.1266","1.1376","1.1386","1.1237","132.38K","-0.99%"
"09/20/2022","1.1379","1.1434","1.1462","1.1356","123.07K","-0.44%"
"09/19/2022","1.1429","1.1417","1.1444","1.1354","97.03K","0.15%"
"09/16/2022","1.1412","1.1467","1.1482","1.1350","131.07K","-0.44%"
"09/15/2022","1.1463","1.1545","1.1551","1.1460","120.85K","-0.62%"
"09/14/2022","1.1535","1.1493","1.1591","1.1479","141.98K","0.38%"
"09/13/2022","1.1491","1.1692","1.1740","1.1491","128.21K","-1.61%"
"09/12/2022","1.1679","1.1596","1.1712","1.1595","96.91K","0.79%"
"09/09/2022","1.1587","1.1504","1.1649","1.1496","136.04K","0.76%"
