date,price
31 Dec 1992,333.00
30 Dec 1992,333.15
29 Dec 1992,332.75
28 Dec 1992,333.00
25 Dec 1992,333.75
24 Dec 1992,332.90
23 Dec 1992,333.00
22 Dec 1992,332.30
21 Dec 1992,333.95
18 Dec 1992,337.00
17 Dec 1992,338.00
16 Dec 1992,337.50
15 Dec 1992,334.55
14 Dec 1992,334.55
11 Dec 1992,335.10
10 Dec 1992,333.90
09 Dec 1992,333.70
08 Dec 1992,335.35
07 Dec 1992,335.90
04 Dec 1992,335.60
03 Dec 1992,335.30
02 Dec 1992,335.65
01 Dec 1992,334.90
30 Nov 1992,334.30
27 Nov 1992,334.50
26 Nov 1992,334.60
25 Nov 1992,333.40
24 Nov 1992,334.60
23 Nov 1992,334.30
20 Nov 1992,335.20
19 Nov 1992,335.00
18 Nov 1992,334.75
17 Nov 1992,335.20
16 Nov 1992,334.50
13 Nov 1992,335.70
12 Nov 1992,332.20
11 Nov 1992,332.00
10 Nov 1992,330.00
09 Nov 1992,333.10
06 Nov 1992,335.60
05 Nov 1992,336.50
04 Nov 1992,337.30
03 Nov 1992,337.70
02 Nov 1992,339.70
30 Oct 1992,339.50
29 Oct 1992,339.40
28 Oct 1992,338.90
27 Oct 1992,337.30
26 Oct 1992,340.50
23 Oct 1992,343.20
22 Oct 1992,342.30
21 Oct 1992,343.50
20 Oct 1992,343.50
19 Oct 1992,342.50
16 Oct 1992,342.00
15 Oct 1992,341.10
14 Oct 1992,341.50
13 Oct 1992,344.20
12 Oct 1992,345.65
09 Oct 1992,350.30
08 Oct 1992,349.75
07 Oct 1992,350.60
06 Oct 1992,350.15
05 Oct 1992,350.50
02 Oct 1992,348.30
01 Oct 1992,348.10
30 Sep 1992,348.30
29 Sep 1992,348.50
28 Sep 1992,347.85
25 Sep 1992,349.10
24 Sep 1992,349.10
23 Sep 1992,348.70
22 Sep 1992,349.25
21 Sep 1992,347.45
18 Sep 1992,351.00
17 Sep 1992,347.75
16 Sep 1992,348.90
15 Sep 1992,346.00
14 Sep 1992,346.45
11 Sep 1992,340.75
10 Sep 1992,341.90
09 Sep 1992,341.80
08 Sep 1992,342.20
07 Sep 1992,342.90
04 Sep 1992,341.25
03 Sep 1992,340.90
02 Sep 1992,338.70
01 Sep 1992,340.50
31 Aug 1992,342.20
28 Aug 1992,339.55
27 Aug 1992,338.90
26 Aug 1992,338.15
25 Aug 1992,340.25
24 Aug 1992,341.55
21 Aug 1992,337.40
20 Aug 1992,337.50
19 Aug 1992,337.60
18 Aug 1992,335.95
17 Aug 1992,337.00
14 Aug 1992,335.30
13 Aug 1992,334.80
12 Aug 1992,340.00
11 Aug 1992,347.65
10 Aug 1992,349.90
07 Aug 1992,350.40
06 Aug 1992,349.30
05 Aug 1992,349.40
04 Aug 1992,352.90
03 Aug 1992,353.00
31 Jul 1992,357.60
30 Jul 1992,356.50
29 Jul 1992,356.40
28 Jul 1992,359.00
27 Jul 1992,357.80
24 Jul 1992,359.30
23 Jul 1992,357.75
22 Jul 1992,359.00
21 Jul 1992,357.40
20 Jul 1992,358.65
17 Jul 1992,357.00
16 Jul 1992,352.25
15 Jul 1992,353.45
14 Jul 1992,350.60
13 Jul 1992,348.70
10 Jul 1992,348.00
09 Jul 1992,348.45
08 Jul 1992,347.15
07 Jul 1992,346.15
06 Jul 1992,346.40
03 Jul 1992,346.00
02 Jul 1992,346.00
01 Jul 1992,343.90
30 Jun 1992,343.00
29 Jun 1992,343.45
26 Jun 1992,342.35
25 Jun 1992,342.80
24 Jun 1992,342.65
23 Jun 1992,344.10
22 Jun 1992,343.20
19 Jun 1992,340.70
18 Jun 1992,342.25
17 Jun 1992,341.35
16 Jun 1992,341.90
15 Jun 1992,342.50
12 Jun 1992,342.50
11 Jun 1992,340.00
10 Jun 1992,337.65
09 Jun 1992,337.80
08 Jun 1992,337.90
05 Jun 1992,338.50
04 Jun 1992,338.50
03 Jun 1992,338.25
02 Jun 1992,338.70
01 Jun 1992,337.60
29 May 1992,336.30
28 May 1992,337.05
27 May 1992,337.55
26 May 1992,337.90
25 May 1992,338.10
22 May 1992,337.60
21 May 1992,336.90
20 May 1992,337.65
19 May 1992,337.55
18 May 1992,338.40
15 May 1992,338.40
14 May 1992,337.40
13 May 1992,335.60
12 May 1992,334.75
11 May 1992,336.25
08 May 1992,335.40
07 May 1992,335.20
06 May 1992,336.50
05 May 1992,336.80
04 May 1992,336.50
01 May 1992,338.30
30 Apr 1992,336.90
29 Apr 1992,335.50
28 Apr 1992,336.05
27 Apr 1992,335.90
24 Apr 1992,336.30
23 Apr 1992,338.10
22 Apr 1992,338.40
21 Apr 1992,340.10
20 Apr 1992,336.75
17 Apr 1992,337.50
16 Apr 1992,337.10
15 Apr 1992,335.65
14 Apr 1992,339.25
13 Apr 1992,339.10
10 Apr 1992,340.80
09 Apr 1992,339.35
08 Apr 1992,337.60
07 Apr 1992,338.30
06 Apr 1992,339.80
03 Apr 1992,340.70
02 Apr 1992,340.30
01 Apr 1992,342.30
31 Mar 1992,343.15
30 Mar 1992,341.60
27 Mar 1992,342.20
26 Mar 1992,340.50
25 Mar 1992,341.00
24 Mar 1992,339.40
23 Mar 1992,338.00
20 Mar 1992,338.20
19 Mar 1992,338.70
18 Mar 1992,338.40
17 Mar 1992,340.30
16 Mar 1992,343.30
13 Mar 1992,346.75
12 Mar 1992,347.15
11 Mar 1992,350.05
10 Mar 1992,348.80
09 Mar 1992,348.80
06 Mar 1992,349.30
05 Mar 1992,351.45
04 Mar 1992,350.40
03 Mar 1992,350.35
02 Mar 1992,351.30
28 Feb 1992,352.90
27 Feb 1992,353.50
26 Feb 1992,349.40
25 Feb 1992,349.40
24 Feb 1992,349.70
21 Feb 1992,351.00
20 Feb 1992,353.10
19 Feb 1992,352.70
18 Feb 1992,352.80
17 Feb 1992,354.00
14 Feb 1992,353.10
13 Feb 1992,355.35
12 Feb 1992,357.60
11 Feb 1992,355.80
10 Feb 1992,355.40
07 Feb 1992,354.50
06 Feb 1992,355.30
31 Dec 1993,390.50
30 Dec 1993,390.50
29 Dec 1993,390.00
28 Dec 1993,387.30
27 Dec 1993,387.70
24 Dec 1993,386.50
23 Dec 1993,385.80
22 Dec 1993,386.20
21 Dec 1993,387.20
20 Dec 1993,389.00
17 Dec 1993,387.00
