date,price,year
2016-01-04,1078.47,2016
2016-01-05,1079.33,2016
2016-01-06,1098.9,2016
2016-01-07,1103.45,2016
2016-01-08,1104.32,2016
2016-01-11,1095.9,2016
2016-01-12,1085.26,2016
2016-01-13,1091.53,2016
2016-01-14,1080.67,2016
2016-01-15,1088.72,2016
2016-01-18,1089.1,2016
2016-01-19,1091.44,2016
2016-01-20,1103.41,2016
2016-01-21,1098.75,2016
2016-01-22,1097.77,2016
2016-01-25,1112.45,2016
2016-01-26,1120.64,2016
2016-01-27,1120.1,2016
2016-01-28,1114.36,2016
2016-01-29,1118.39,2016
2016-02-01,1125.65,2016
2016-02-02,1128.2,2016
2016-02-03,1143.11,2016
2016-02-04,1154.85,2016
2016-02-05,1173.46,2016
2016-02-08,1191.45,2016
2016-02-09,1191.44,2016
2016-02-10,1206.25,2016
2016-02-11,1239.06,2016
2016-02-12,1237.77,2016
2016-02-15,1209.52,2016
2016-02-16,1206.28,2016
2016-02-17,1209.41,2016
2016-02-18,1225.96,2016
2016-02-19,1226.24,2016
2016-02-22,1216.24,2016
2016-02-23,1227.57,2016
2016-02-24,1233.96,2016
2016-02-25,1239.38,2016
2016-02-26,1222.95,2016
2016-02-29,1244.31,2016
2016-03-01,1226.93,2016
2016-03-02,1239.35,2016
2016-03-03,1261.18,2016
2016-03-04,1259.06,2016
2016-03-07,1270.1,2016
2016-03-08,1255.75,2016
2016-03-09,1247.75,2016
2016-03-10,1275.12,2016
2016-03-11,1250.58,2016
2016-03-14,1229.72,2016
2016-03-15,1232.35,2016
2016-03-16,1256.68,2016
2016-03-17,1262.88,2016
2016-03-18,1255.3,2016
2016-03-21,1243.69,2016
2016-03-22,1248.49,2016
2016-03-23,1220.04,2016
2016-03-24,1216.92,2016
2016-03-28,1213.5,2016
2016-03-29,1215.87,2016
2016-03-30,1226.95,2016
2016-03-31,1232.69,2016
2016-04-01,1222.47,2016
2016-04-04,1215.26,2016
2016-04-05,1230.55,2016
2016-04-06,1225.45,2016
2016-04-07,1238.76,2016
2016-04-08,1239.85,2016
2016-04-11,1257.36,2016
2016-04-12,1254.27,2016
2016-04-13,1241.15,2016
2016-04-14,1229.59,2016
2016-04-15,1237.3,2016
2016-04-18,1229.45,2016
2016-04-19,1249.78,2016
2016-04-20,1245.25,2016
2016-04-21,1249.35,2016
2016-04-22,1232.34,2016
2016-04-25,1238.26,2016
2016-04-26,1242.85,2016
2016-04-27,1245.81,2016
2016-04-28,1265.65,2016
2016-04-29,1293.26,2016
2016-05-02,1289.86,2016
2016-05-03,1286.88,2016
2016-05-04,1282.76,2016
2016-05-05,1277.62,2016
2016-05-06,1288.02,2016
2016-05-09,1262.83,2016
2016-05-10,1265.3,2016
2016-05-11,1277.83,2016
2016-05-12,1266.73,2016
2016-05-13,1273.35,2016
2016-05-16,1275.27,2016
2016-05-17,1279.22,2016
2016-05-18,1260.44,2016
2016-05-19,1257.04,2016
2016-05-20,1252.26,2016
2016-05-23,1249.64,2016
2016-05-24,1225.42,2016
2016-05-25,1225.01,2016
2016-05-26,1222.19,2016
2016-05-27,1212.95,2016
2016-05-30,1210.02,2016
2016-05-31,1216.78,2016
2016-06-01,1213.34,2016
2016-06-02,1208.15,2016
2016-06-03,1244.37,2016
2016-06-06,1244.69,2016
2016-06-07,1244.17,2016
2016-06-08,1264.99,2016
2016-06-09,1266.17,2016
2016-06-10,1273.9,2016
2016-06-13,1282.56,2016
2016-06-14,1284.48,2016
2016-06-15,1293.84,2016
2016-06-16,1282.08,2016
2016-06-17,1298.75,2016
2016-06-20,1288.01,2016
2016-06-21,1268.68,2016
2016-06-22,1262.8,2016
2016-06-23,1267.49,2016
2016-06-24,1333.7,2016
2016-06-27,1324.8,2016
2016-06-28,1314.21,2016
2016-06-29,1316.27,2016
2016-06-30,1322.05,2016
2016-07-01,1341.5,2016
2016-07-04,1349.66,2016
2016-07-05,1362.77,2016
2016-07-06,1366.36,2016
2016-07-07,1360.61,2016
2016-07-08,1366.54,2016
2016-07-11,1354.59,2016
2016-07-12,1334.05,2016
2016-07-13,1345.86,2016
2016-07-14,1334.85,2016
2016-07-15,1337.57,2016
2016-07-18,1329.08,2016
2016-07-19,1333.01,2016
2016-07-20,1313.12,2016
2016-07-21,1332.4,2016
2016-07-22,1322.29,2016
2016-07-25,1316.28,2016
2016-07-26,1319.18,2016
2016-07-27,1339.68,2016
2016-07-28,1336.27,2016
2016-07-29,1351.05,2016
2016-08-01,1353.04,2016
2016-08-02,1363.18,2016
2016-08-03,1356.39,2016
