date,price
"Dec 30, 2022",47.20
"Dec 29, 2022",47.36
"Dec 28, 2022",47.37
"Dec 27, 2022",48.75
"Dec 23, 2022",47.85
"Dec 22, 2022",47.50
"Dec 21, 2022",47.32
"Dec 20, 2022",47.62
"Dec 19, 2022",45.60
"Dec 16, 2022",46.14
"Dec 15, 2022",45.57
"Dec 14, 2022",47.11
"Dec 13, 2022",47.15
"Dec 12, 2022",46.40
"Dec 09, 2022",46.40
"Dec 08, 2022",47.12
"Dec 07, 2022",47.19
"Dec 07, 2022",
"Dec 06, 2022",47.12
"Dec 05, 2022",47.47
"Dec 02, 2022",48.67
"Dec 01, 2022",48.57
"Nov 30, 2022",47.47
"Nov 29, 2022",45.76
"Nov 28, 2022",44.32
"Nov 25, 2022",45.85
"Nov 23, 2022",46.25
"Nov 22, 2022",46.13
"Nov 21, 2022",45.00
"Nov 18, 2022",45.13
"Nov 17, 2022",44.67
"Nov 16, 2022",45.49
"Nov 15, 2022",45.69
"Nov 14, 2022",46.29
"Nov 11, 2022",46.53
"Nov 10, 2022",46.41
"Nov 09, 2022",43.33
"Nov 08, 2022",43.75
"Nov 07, 2022",41.32
"Nov 04, 2022",40.99
"Nov 03, 2022",37.79
"Nov 02, 2022",39.53
"Nov 01, 2022",41.71
"Oct 31, 2022",42.32
"Oct 28, 2022",42.86
"Oct 27, 2022",43.06
"Oct 26, 2022",43.77
"Oct 25, 2022",42.72
"Oct 24, 2022",42.08
"Oct 21, 2022",42.37
"Oct 20, 2022",41.14
"Oct 19, 2022",40.37
"Oct 18, 2022",41.70
"Oct 17, 2022",41.31
"Oct 14, 2022",40.74
"Oct 13, 2022",41.62
"Oct 12, 2022",41.91
"Oct 11, 2022",41.82
"Oct 10, 2022",42.28
"Oct 07, 2022",42.60
"Oct 06, 2022",44.89
"Oct 05, 2022",43.90
"Oct 04, 2022",44.53
"Oct 03, 2022",43.71
"Sep 30, 2022",42.03
"Sep 29, 2022",41.76
"Sep 28, 2022",42.19
"Sep 27, 2022",40.27
"Sep 26, 2022",40.59
"Sep 23, 2022",41.25
"Sep 22, 2022",42.50
"Sep 21, 2022",42.40
"Sep 20, 2022",42.80
"Sep 19, 2022",44.27
"Sep 16, 2022",43.71
"Sep 15, 2022",42.40
"Sep 14, 2022",42.93
"Sep 13, 2022",43.03
"Sep 12, 2022",43.95
"Sep 09, 2022",43.17
"Sep 08, 2022",42.39
"Sep 07, 2022",42.35
"Sep 07, 2022",
"Sep 06, 2022",41.71
"Sep 02, 2022",41.67
"Sep 01, 2022",40.91
"Aug 31, 2022",41.36
"Aug 30, 2022",42.20
"Aug 29, 2022",42.81
"Aug 26, 2022",43.22
"Aug 25, 2022",45.14
"Aug 24, 2022",44.80
"Aug 23, 2022",44.55
"Aug 22, 2022",43.82
"Aug 19, 2022",43.53
"Aug 18, 2022",44.65
"Aug 17, 2022",44.90
"Aug 16, 2022",46.05
"Aug 15, 2022",45.94
