"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,806.70","1,778.00","1,778.00","1,778.00","0.02K","-0.95%"
"12/29/2022","1,824.10","1,776.50","1,845.00","1,776.50","0.05K","2.19%"
"12/28/2022","1,785.00","1,832.00","1,840.00","1,750.00","1.77K","-2.26%"
"12/27/2022","1,826.30","1,750.00","1,835.00","1,750.00","1.94K","3.59%"
"12/26/2022","1,763.00","1,745.25","1,767.50","1,741.25","","1.79%"
"12/23/2022","1,732.00","1,669.50","1,754.00","1,640.50","1.60K","3.56%"
"12/22/2022","1,672.40","1,686.00","1,737.00","1,656.50","1.76K","0.34%"
"12/21/2022","1,666.80","1,729.50","1,739.50","1,660.00","1.53K","-3.85%"
"12/20/2022","1,733.50","1,665.00","1,744.00","1,646.50","2.76K","4.12%"
"12/19/2022","1,664.90","1,707.00","1,740.00","1,654.00","2.65K","-2.44%"
"12/16/2022","1,706.60","1,790.00","1,825.00","1,702.50","4.85K","-5.90%"
"12/15/2022","1,813.60","1,927.00","1,927.00","1,763.00","3.09K","-5.64%"
"12/14/2022","1,922.10","1,938.00","1,945.00","1,909.00","1.31K","-0.75%"
"12/13/2022","1,936.70","1,883.00","2,003.00","1,880.50","2.27K","2.79%"
"12/12/2022","1,884.10","1,954.00","1,959.50","1,876.00","1.79K","-4.30%"
"12/09/2022","1,968.80","1,930.50","1,972.50","1,913.50","1.55K","1.97%"
"12/08/2022","1,930.80","1,854.00","1,945.00","1,842.00","2.04K","4.13%"
"12/07/2022","1,854.30","1,852.00","1,882.50","1,839.00","1.37K","0.15%"
"12/06/2022","1,851.50","1,886.00","1,898.50","1,844.50","1.46K","-0.53%"
"12/05/2022","1,861.30","1,904.00","1,939.50","1,854.50","1.59K","-2.09%"
"12/02/2022","1,901.10","1,944.00","1,946.00","1,870.50","1.72K","-2.32%"
"12/01/2022","1,946.30","1,889.00","1,955.00","1,863.00","2.22K","4.30%"
"11/30/2022","1,866.00","1,839.00","1,938.00","1,837.50","1.99K","1.75%"
"11/29/2022","1,833.90","1,847.00","1,884.00","1,811.50","1.67K","-0.50%"
"11/28/2022","1,843.10","1,828.00","1,887.03","1,825.50","","0.67%"
"11/25/2022","1,830.80","1,902.50","1,919.00","1,808.00","2.71K","-3.08%"
"11/24/2022","1,889.00","1,885.78","1,910.28","1,879.28","","0.05%"
"11/23/2022","1,888.00","1,868.50","1,909.00","1,867.50","2.47K","1.09%"
"11/22/2022","1,867.70","1,881.50","1,905.00","1,857.00","2.54K","0.01%"
"11/21/2022","1,867.53","1,939.00","1,943.78","1,827.00","","-3.89%"
"11/20/2022","1,943.03","1,947.00","1,947.25","1,929.75","","0.21%"
"11/18/2022","1,938.90","2,014.00","2,028.00","1,932.00","","-3.54%"
