"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,082.90","1,069.80","1,087.60","1,063.10","","1.68%"
"12/29/2022","1,065.00","1,018.60","1,074.10","1,016.60","","4.43%"
"12/28/2022","1,019.80","1,028.75","1,045.55","1,015.15","","-1.25%"
"12/27/2022","1,032.70","1,032.60","1,047.60","1,014.00","","-0.32%"
"12/26/2022","1,036.00","1,039.65","1,043.95","1,034.80","","0.62%"
"12/23/2022","1,029.60","982.70","1,035.10","979.50","16.45K","4.57%"
"12/22/2022","984.60","1,002.60","1,009.60","971.40","20.62K","-1.74%"
"12/21/2022","1,002.00","1,013.30","1,017.50","996.60","15.63K","-1.09%"
"12/20/2022","1,013.00","986.00","1,019.80","979.00","26.55K","2.56%"
"12/19/2022","987.70","999.30","1,013.40","982.00","19.45K","-1.41%"
"12/18/2022","1,001.85","999.30","1,003.35","998.10","","0.18%"
"12/16/2022","1,000.00","1,015.20","1,021.20","996.80","17.57K","-1.30%"
"12/15/2022","1,013.20","1,039.40","1,039.40","1,010.50","18.87K","-2.45%"
"12/14/2022","1,038.70","1,042.60","1,047.80","1,028.10","17.28K","-0.02%"
"12/13/2022","1,038.90","1,009.00","1,056.00","1,006.00","23.15K","3.07%"
"12/12/2022","1,008.00","1,033.00","1,035.80","1,002.80","20.37K","-1.91%"
"12/11/2022","1,027.60","1,036.20","1,041.70","1,027.25","","-0.83%"
"12/09/2022","1,036.20","1,014.30","1,040.70","1,001.60","21.30K","2.13%"
"12/08/2022","1,014.60","1,012.80","1,021.60","1,005.60","13.25K","0.31%"
"12/07/2022","1,011.50","996.10","1,024.90","985.50","18.89K","1.62%"
"12/06/2022","995.40","1,006.60","1,013.30","991.50","16.23K","-1.20%"
"12/05/2022","1,007.50","1,025.50","1,038.20","1,002.90","17.29K","-2.32%"
"12/04/2022","1,031.40","1,024.45","1,031.60","1,024.10","","0.47%"
"12/02/2022","1,026.60","1,055.60","1,058.60","1,010.10","26.41K","-2.68%"
"12/01/2022","1,054.90","1,045.90","1,066.80","1,037.80","25.93K","1.50%"
"11/30/2022","1,039.30","1,012.40","1,051.70","1,010.10","28.62K","3.04%"
"11/29/2022","1,008.60","998.90","1,018.50","995.40","18.19K","-0.37%"
"11/28/2022","1,012.30","984.35","1,013.55","978.80","","2.84%"
"11/27/2022","984.30","986.05","986.50","982.30","","-1.65%"
"11/25/2022","1,000.80","997.00","1,000.85","982.15","","0.39%"
"11/24/2022","996.90","1,007.75","1,009.30","993.15","","-1.28%"
"11/23/2022","1,009.80","1,015.00","1,015.00","1,015.00","0.00K","0.11%"
