date,price
"Dec 30, 2022",71.20
"Dec 29, 2022",71.09
"Dec 28, 2022",70.63
"Dec 27, 2022",71.43
"Dec 23, 2022",70.79
"Dec 22, 2022",70.29
"Dec 21, 2022",70.74
"Dec 20, 2022",69.63
"Dec 19, 2022",68.86
"Dec 16, 2022",69.43
"Dec 15, 2022",70.45
"Dec 14, 2022",70.72
"Dec 13, 2022",71.61
"Dec 12, 2022",71.13
"Dec 09, 2022",72.49
"Dec 08, 2022",71.80
"Dec 07, 2022",69.85
"Dec 06, 2022",70.34
"Dec 05, 2022",69.46
"Dec 02, 2022",69.82
"Dec 01, 2022",69.18
"Nov 30, 2022",68.64
"Nov 29, 2022",67.86
"Nov 28, 2022",65.20
"Nov 25, 2022",65.73
"Nov 23, 2022",66.14
"Nov 22, 2022",65.20
"Nov 21, 2022",64.28
"Nov 18, 2022",65.19
"Nov 17, 2022",64.93
"Nov 16, 2022",64.51
"Nov 15, 2022",65.28
"Nov 14, 2022",64.24
"Nov 11, 2022",64.71
"Nov 10, 2022",60.81
"Nov 09, 2022",58.35
"Nov 08, 2022",59.52
"Nov 07, 2022",58.46
"Nov 04, 2022",58.34
"Nov 03, 2022",53.02
"Nov 02, 2022",52.78
"Nov 01, 2022",54.97
"Oct 31, 2022",53.35
"Oct 28, 2022",52.83
"Oct 27, 2022",54.75
"Oct 26, 2022",56.91
"Oct 25, 2022",55.05
"Oct 24, 2022",54.09
"Oct 21, 2022",55.56
"Oct 20, 2022",53.33
"Oct 19, 2022",53.74
"Oct 18, 2022",54.71
"Oct 17, 2022",55.18
"Oct 14, 2022",53.71
"Oct 13, 2022",56.43
"Oct 12, 2022",55.45
"Oct 11, 2022",56.16
"Oct 10, 2022",57.46
"Oct 07, 2022",57.30
"Oct 06, 2022",57.17
"Oct 05, 2022",58.74
"Oct 04, 2022",59.25
"Oct 03, 2022",57.00
"Sep 30, 2022",55.06
"Sep 29, 2022",55.18
"Sep 28, 2022",53.87
"Sep 27, 2022",52.38
"Sep 26, 2022",51.22
"Sep 23, 2022",52.16
"Sep 22, 2022",55.35
"Sep 21, 2022",53.22
"Sep 20, 2022",55.11
"Sep 19, 2022",56.31
"Sep 16, 2022",55.17
"Sep 15, 2022",55.35
"Sep 14, 2022",56.20
"Sep 13, 2022",56.68
"Sep 12, 2022",58.84
"Sep 09, 2022",57.93
"Sep 08, 2022",55.34
"Sep 07, 2022",54.33
"Sep 06, 2022",54.88
"Sep 02, 2022",54.49
"Sep 01, 2022",54.34
"Aug 31, 2022",56.29
"Aug 30, 2022",56.77
"Aug 29, 2022",59.24
"Aug 26, 2022",59.71
"Aug 25, 2022",60.17
"Aug 24, 2022",59.12
"Aug 23, 2022",61.10
"Aug 22, 2022",58.93
"Aug 19, 2022",58.83
"Aug 18, 2022",60.49
"Aug 17, 2022",59.66
"Aug 16, 2022",60.98
"Aug 15, 2022",58.51
"Aug 12, 2022",60.20
"Aug 11, 2022",59.98
"Aug 11, 2022",
"Aug 10, 2022",61.71
"Aug 09, 2022",61.34
"Aug 08, 2022",60.80
"Aug 05, 2022",60.69
"Aug 04, 2022",59.32
"Aug 03, 2022",59.18
"Aug 02, 2022",59.30
"Aug 01, 2022",60.25
"Jul 29, 2022",61.03
"Jul 28, 2022",59.88
"Jul 27, 2022",59.42
"Jul 26, 2022",59.11
"Jul 25, 2022",59.67
"Jul 22, 2022",57.50
"Jul 21, 2022",57.53
"Jul 20, 2022",57.30
"Jul 19, 2022",57.45
"Jul 18, 2022",56.64
"Jul 15, 2022",55.41
"Jul 14, 2022",54.68
"Jul 13, 2022",58.10
"Jul 12, 2022",57.22
"Jul 11, 2022",57.81
"Jul 08, 2022",59.11
"Jul 07, 2022",59.49
"Jul 06, 2022",57.26
"Jul 05, 2022",57.28
"Jul 01, 2022",59.83
"Jun 30, 2022",61.00
"Jun 29, 2022",62.93
"Jun 28, 2022",63.26
"Jun 27, 2022",63.02
"Jun 24, 2022",62.72
"Jun 23, 2022",60.81
"Jun 22, 2022",62.71
"Jun 21, 2022",65.40
"Jun 17, 2022",64.54
"Jun 16, 2022",68.04
"Jun 15, 2022",69.52
"Jun 14, 2022",67.42
"Jun 13, 2022",68.81
"Jun 10, 2022",71.69
"Jun 09, 2022",74.41
"Jun 08, 2022",76.49
"Jun 07, 2022",78.40
"Jun 06, 2022",75.91
"Jun 03, 2022",74.86
"Jun 02, 2022",75.82
"Jun 01, 2022",73.23
"May 31, 2022",73.44
"May 27, 2022",73.19
"May 26, 2022",72.13
"May 25, 2022",71.89
"May 24, 2022",71.27
"May 23, 2022",70.73
"May 20, 2022",69.54
"May 19, 2022",67.93
"May 18, 2022",66.67
"May 17, 2022",68.96
"May 16, 2022",66.57
"May 13, 2022",65.81
"May 12, 2022",64.42
"May 11, 2022",65.42
"May 10, 2022",65.10
"May 09, 2022",64.97
"May 06, 2022",68.07
"May 05, 2022",68.97
"May 04, 2022",71.81
"May 03, 2022",71.12
"May 02, 2022",70.95
"Apr 29, 2022",71.12
"Apr 28, 2022",71.51
"Apr 27, 2022",71.90
"Apr 26, 2022",68.74
"Apr 25, 2022",70.84
"Apr 22, 2022",72.67
"Apr 21, 2022",74.81
"Apr 20, 2022",78.58
"Apr 19, 2022",80.70
"Apr 18, 2022",82.40
"Apr 14, 2022",81.87
"Apr 13, 2022",81.94
"Apr 12, 2022",80.49
"Apr 11, 2022",79.74
"Apr 08, 2022",80.28
"Apr 07, 2022",80.85
"Apr 06, 2022",80.57
"Apr 05, 2022",80.49
"Apr 04, 2022",81.38
"Apr 01, 2022",82.68
"Mar 31, 2022",80.40
"Mar 30, 2022",80.50
"Mar 29, 2022",78.38
"Mar 28, 2022",78.53
"Mar 25, 2022",79.52
"Mar 24, 2022",78.30
"Mar 23, 2022",77.88
"Mar 22, 2022",76.47
"Mar 21, 2022",77.69
"Mar 18, 2022",75.43
"Mar 17, 2022",74.84
"Mar 16, 2022",72.72
"Mar 15, 2022",69.08
"Mar 14, 2022",69.37
"Mar 11, 2022",72.72
"Mar 10, 2022",74.85
"Mar 10, 2022",
"Mar 09, 2022",77.72
"Mar 08, 2022",77.53
"Mar 07, 2022",79.54
"Mar 04, 2022",81.88
"Mar 03, 2022",84.00
"Mar 02, 2022",83.54
"Mar 01, 2022",80.03
"Feb 28, 2022",78.58
"Feb 25, 2022",77.96
"Feb 24, 2022",75.42
"Feb 23, 2022",77.50
"Feb 22, 2022",77.77
"Feb 18, 2022",77.63
"Feb 17, 2022",76.68
"Feb 16, 2022",78.56
"Feb 15, 2022",77.13
"Feb 14, 2022",78.37
"Feb 11, 2022",77.79
"Feb 10, 2022",78.96
"Feb 09, 2022",78.33
"Feb 08, 2022",78.10
"Feb 07, 2022",76.64
"Feb 04, 2022",73.89
"Feb 03, 2022",73.47
"Feb 02, 2022",74.29
"Feb 01, 2022",74.20
"Jan 31, 2022",71.40
"Jan 28, 2022",73.13
"Jan 27, 2022",75.09
"Jan 26, 2022",74.03
"Jan 25, 2022",73.68
"Jan 24, 2022",73.27
"Jan 21, 2022",74.36
"Jan 20, 2022",76.16
"Jan 19, 2022",77.92
"Jan 18, 2022",75.73
"Jan 14, 2022",75.40
"Jan 13, 2022",75.66
"Jan 12, 2022",76.07
"Jan 11, 2022",74.42
"Jan 10, 2022",72.71
"Jan 07, 2022",72.24
"Jan 06, 2022",70.04
"Jan 05, 2022",68.71
"Jan 04, 2022",67.52
"Jan 03, 2022",66.73
"Dec 31, 2021",66.94
"Dec 30, 2021",66.77
"Dec 29, 2021",66.12
"Dec 28, 2021",65.92
"Dec 27, 2021",66.41
"Dec 23, 2021",66.21
"Dec 22, 2021",65.88
"Dec 21, 2021",66.01
"Dec 20, 2021",64.33
"Dec 17, 2021",64.91
"Dec 16, 2021",65.80
"Dec 15, 2021",64.55
"Dec 14, 2021",64.70
"Dec 13, 2021",64.21
"Dec 10, 2021",64.11
"Dec 09, 2021",63.98
"Dec 08, 2021",63.88
"Dec 07, 2021",64.16
"Dec 06, 2021",62.09
"Dec 03, 2021",61.33
"Dec 02, 2021",64.13
"Dec 01, 2021",62.16
"Nov 30, 2021",62.69
"Nov 29, 2021",62.94
"Nov 26, 2021",62.33
"Nov 24, 2021",63.75
"Nov 23, 2021",63.84
"Nov 22, 2021",62.01
"Nov 19, 2021",60.71
"Nov 18, 2021",59.90
"Nov 17, 2021",60.67
"Nov 16, 2021",60.55
"Nov 15, 2021",61.62
"Nov 12, 2021",62.34
"Nov 11, 2021",63.00
"Nov 10, 2021",60.34
"Nov 09, 2021",61.40
"Nov 08, 2021",62.29
"Nov 05, 2021",60.62
"Nov 04, 2021",60.86
"Nov 03, 2021",62.11
"Nov 02, 2021",61.94
"Nov 01, 2021",63.39
"Oct 29, 2021",63.27
"Oct 28, 2021",64.50
"Oct 27, 2021",64.44
"Oct 26, 2021",66.03
"Oct 25, 2021",66.83
"Oct 22, 2021",65.88
"Oct 21, 2021",65.54
"Oct 20, 2021",68.13
"Oct 19, 2021",70.89
"Oct 18, 2021",70.18
"Oct 15, 2021",70.43
"Oct 14, 2021",71.09
"Oct 13, 2021",69.05
"Oct 12, 2021",69.29
"Oct 11, 2021",69.81
"Oct 08, 2021",68.47
"Oct 07, 2021",68.13
"Oct 06, 2021",67.07
"Oct 05, 2021",66.38
"Oct 04, 2021",66.56
"Oct 01, 2021",66.81
"Sep 30, 2021",66.82
"Sep 29, 2021",65.74
"Sep 28, 2021",65.83
"Sep 27, 2021",67.54
"Sep 24, 2021",66.77
"Sep 23, 2021",67.05
"Sep 22, 2021",66.59
"Sep 21, 2021",65.37
"Sep 20, 2021",66.07
"Sep 17, 2021",68.04
"Sep 16, 2021",70.14
"Sep 15, 2021",73.56
"Sep 14, 2021",72.70
"Sep 13, 2021",73.78
"Sep 10, 2021",73.18
"Sep 09, 2021",72.06
"Sep 08, 2021",73.55
"Sep 07, 2021",74.56
"Sep 03, 2021",75.87
"Sep 02, 2021",75.28
"Sep 01, 2021",74.91
"Aug 31, 2021",75.07
"Aug 30, 2021",76.06
"Aug 27, 2021",75.83
"Aug 26, 2021",74.02
"Aug 25, 2021",75.40
"Aug 24, 2021",75.09
"Aug 23, 2021",73.00
"Aug 20, 2021",72.52
"Aug 19, 2021",72.42
"Aug 18, 2021",74.13
"Aug 17, 2021",76.83
"Aug 16, 2021",78.03
"Aug 13, 2021",79.44
"Aug 12, 2021",79.16
"Aug 12, 2021",
"Aug 11, 2021",86.10
"Aug 10, 2021",86.94
"Aug 09, 2021",85.57
"Aug 06, 2021",84.97
"Aug 05, 2021",84.74
"Aug 04, 2021",88.53
"Aug 03, 2021",89.39
"Aug 02, 2021",87.30
"Jul 30, 2021",86.31
"Jul 29, 2021",88.67
"Jul 28, 2021",86.62
"Jul 27, 2021",82.78
"Jul 26, 2021",86.05
"Jul 23, 2021",82.77
"Jul 22, 2021",82.08
"Jul 21, 2021",82.94
"Jul 20, 2021",81.45
"Jul 19, 2021",80.23
"Jul 16, 2021",82.79
"Jul 15, 2021",86.25
"Jul 14, 2021",85.73
"Jul 13, 2021",85.18
"Jul 12, 2021",86.03
"Jul 09, 2021",85.99
"Jul 08, 2021",82.48
"Jul 07, 2021",84.33
"Jul 06, 2021",82.44
"Jul 02, 2021",83.63
"Jul 01, 2021",82.72
"Jun 30, 2021",83.89
"Jun 29, 2021",84.61
"Jun 28, 2021",84.46
"Jun 25, 2021",85.02
"Jun 24, 2021",84.82
"Jun 23, 2021",83.72
"Jun 22, 2021",83.11
"Jun 21, 2021",82.09
"Jun 18, 2021",81.04
"Jun 17, 2021",83.02
"Jun 16, 2021",84.66
"Jun 15, 2021",86.42
"Jun 14, 2021",86.97
"Jun 11, 2021",87.48
"Jun 10, 2021",86.90
"Jun 09, 2021",86.87
"Jun 08, 2021",88.61
"Jun 07, 2021",88.12
"Jun 04, 2021",89.75
"Jun 03, 2021",88.51
"Jun 02, 2021",90.22
"Jun 01, 2021",90.80
"May 28, 2021",87.43
"May 27, 2021",87.74
"May 26, 2021",84.80
"May 25, 2021",84.08
"May 24, 2021",85.69
"May 21, 2021",85.65
"May 20, 2021",86.58
"May 19, 2021",86.18
"May 18, 2021",89.44
"May 17, 2021",90.63
"May 14, 2021",88.23
"May 13, 2021",90.02
"May 12, 2021",92.75
"May 11, 2021",94.65
"May 10, 2021",93.81
"May 07, 2021",93.17
"May 06, 2021",91.36
"May 05, 2021",90.38
"May 04, 2021",87.16
"May 03, 2021",86.95
"Apr 30, 2021",85.06
"Apr 29, 2021",87.53
"Apr 28, 2021",87.57
"Apr 27, 2021",86.92
"Apr 26, 2021",88.25
"Apr 23, 2021",86.44
"Apr 22, 2021",84.01
"Apr 21, 2021",86.00
"Apr 20, 2021",84.72
"Apr 19, 2021",86.30
"Apr 16, 2021",84.79
"Apr 15, 2021",83.78
"Apr 14, 2021",81.72
"Apr 13, 2021",79.50
"Apr 12, 2021",78.95
"Apr 09, 2021",79.40
"Apr 08, 2021",80.20
"Apr 07, 2021",80.02
"Apr 06, 2021",78.78
"Apr 05, 2021",79.87
"Apr 01, 2021",77.98
"Mar 31, 2021",77.65
"Mar 30, 2021",77.88
"Mar 29, 2021",76.96
"Mar 26, 2021",78.05
"Mar 25, 2021",75.06
"Mar 24, 2021",74.75
"Mar 23, 2021",74.30
"Mar 22, 2021",76.08
"Mar 19, 2021",76.55
"Mar 18, 2021",77.56
"Mar 17, 2021",78.72
"Mar 16, 2021",78.80
"Mar 15, 2021",79.58
"Mar 12, 2021",81.27
"Mar 11, 2021",82.50
"Mar 10, 2021",80.21
"Mar 09, 2021",81.92
"Mar 08, 2021",83.40
"Mar 05, 2021",83.64
"Mar 04, 2021",81.90
"Mar 04, 2021",
"Mar 03, 2021",90.86
"Mar 02, 2021",91.34
"Mar 01, 2021",89.80
"Feb 26, 2021",87.40
"Feb 25, 2021",90.13
"Feb 24, 2021",91.71
"Feb 23, 2021",90.51
"Feb 22, 2021",90.37
"Feb 19, 2021",89.99
"Feb 18, 2021",88.09
"Feb 17, 2021",87.54
"Feb 16, 2021",87.63
"Feb 12, 2021",83.66
"Feb 11, 2021",82.28
"Feb 10, 2021",83.06
"Feb 09, 2021",81.40
"Feb 08, 2021",80.29
"Feb 05, 2021",78.48
"Feb 04, 2021",77.52
"Feb 03, 2021",77.53
"Feb 02, 2021",77.00
"Feb 01, 2021",78.47
"Jan 29, 2021",76.42
"Jan 28, 2021",78.51
"Jan 27, 2021",78.69
"Jan 26, 2021",81.13
"Jan 25, 2021",81.09
"Jan 22, 2021",81.40
"Jan 21, 2021",82.39
"Jan 20, 2021",82.68
"Jan 19, 2021",81.60
"Jan 15, 2021",80.47
"Jan 14, 2021",84.84
"Jan 13, 2021",81.76
"Jan 12, 2021",84.02
"Jan 11, 2021",83.78
"Jan 08, 2021",86.69
"Jan 07, 2021",85.98
"Jan 06, 2021",82.80
"Jan 05, 2021",79.26
"Jan 04, 2021",77.39
"Dec 31, 2020",75.22
"Dec 30, 2020",75.99
"Dec 29, 2020",76.13
"Dec 28, 2020",75.59
"Dec 24, 2020",75.94
"Dec 23, 2020",76.13
"Dec 22, 2020",75.29
"Dec 21, 2020",76.28
"Dec 18, 2020",76.61
"Dec 17, 2020",76.60
"Dec 16, 2020",75.90
"Dec 15, 2020",76.19
"Dec 14, 2020",74.39
"Dec 11, 2020",74.12
"Dec 10, 2020",73.98
"Dec 09, 2020",72.39
"Dec 08, 2020",72.89
"Dec 07, 2020",72.97
