date,price
30 Dec 2016,16.47
29 Dec 2016,16.20
28 Dec 2016,16.01
27 Dec 2016,15.96
26 Dec 2016,15.79
23 Dec 2016,15.75
22 Dec 2016,15.83
21 Dec 2016,15.95
20 Dec 2016,16.06
19 Dec 2016,15.99
16 Dec 2016,16.11
15 Dec 2016,16.00
14 Dec 2016,16.84
13 Dec 2016,16.91
12 Dec 2016,17.07
09 Dec 2016,16.87
08 Dec 2016,17.02
07 Dec 2016,17.16
06 Dec 2016,16.73
05 Dec 2016,16.75
02 Dec 2016,16.74
01 Dec 2016,16.57
30 Nov 2016,16.51
29 Nov 2016,16.65
28 Nov 2016,16.69
25 Nov 2016,16.50
24 Nov 2016,16.37
23 Nov 2016,16.36
22 Nov 2016,16.68
21 Nov 2016,16.69
18 Nov 2016,16.58
17 Nov 2016,16.69
16 Nov 2016,17.00
15 Nov 2016,17.08
14 Nov 2016,16.95
11 Nov 2016,17.37
10 Nov 2016,18.63
09 Nov 2016,18.42
08 Nov 2016,18.34
07 Nov 2016,18.24
04 Nov 2016,18.42
03 Nov 2016,18.37
02 Nov 2016,18.55
01 Nov 2016,18.37
31 Oct 2016,17.87
28 Oct 2016,17.77
27 Oct 2016,17.64
26 Oct 2016,17.64
25 Oct 2016,17.76
24 Oct 2016,17.58
21 Oct 2016,17.89
20 Oct 2016,17.50
19 Oct 2016,17.72
18 Oct 2016,17.65
17 Oct 2016,17.48
14 Oct 2016,17.42
13 Oct 2016,17.49
12 Oct 2016,17.49
11 Oct 2016,17.52
10 Oct 2016,17.66
07 Oct 2016,17.55
06 Oct 2016,17.30
05 Oct 2016,17.79
04 Oct 2016,17.80
03 Oct 2016,18.86
30 Sep 2016,19.17
29 Sep 2016,19.11
28 Sep 2016,19.24
27 Sep 2016,19.16
26 Sep 2016,19.44
23 Sep 2016,19.68
22 Sep 2016,19.88
21 Sep 2016,19.85
20 Sep 2016,19.28
19 Sep 2016,19.22
16 Sep 2016,18.79
15 Sep 2016,18.99
14 Sep 2016,18.99
13 Sep 2016,18.95
12 Sep 2016,19.18
09 Sep 2016,19.06
08 Sep 2016,19.58
07 Sep 2016,19.82
06 Sep 2016,20.01
05 Sep 2016,19.55
02 Sep 2016,19.57
01 Sep 2016,18.92
31 Aug 2016,18.71
30 Aug 2016,18.65
29 Aug 2016,18.88
26 Aug 2016,18.65
25 Aug 2016,18.55
24 Aug 2016,18.58
23 Aug 2016,18.87
22 Aug 2016,18.89
19 Aug 2016,19.30
18 Aug 2016,19.71
17 Aug 2016,19.76
16 Aug 2016,19.85
15 Aug 2016,19.85
12 Aug 2016,19.71
11 Aug 2016,20.03
10 Aug 2016,20.19
09 Aug 2016,19.92
08 Aug 2016,19.75
05 Aug 2016,19.72
04 Aug 2016,20.34
03 Aug 2016,20.43
02 Aug 2016,20.63
01 Aug 2016,20.46
29 Jul 2016,20.34
28 Jul 2016,20.17
27 Jul 2016,20.29
26 Jul 2016,19.64
25 Jul 2016,19.52
22 Jul 2016,19.64
21 Jul 2016,19.82
20 Jul 2016,19.29
19 Jul 2016,19.88
18 Jul 2016,20.00
15 Jul 2016,20.24
14 Jul 2016,20.32
13 Jul 2016,20.42
12 Jul 2016,20.16
11 Jul 2016,20.29
08 Jul 2016,20.29
07 Jul 2016,19.77
06 Jul 2016,20.16
05 Jul 2016,20.25
04 Jul 2016,20.41
01 Jul 2016,19.78
30 Jun 2016,18.78
29 Jun 2016,18.23
28 Jun 2016,17.78
27 Jun 2016,17.75
24 Jun 2016,17.75
23 Jun 2016,17.40
22 Jun 2016,17.25
21 Jun 2016,17.26
20 Jun 2016,17.47
17 Jun 2016,17.50
16 Jun 2016,17.28
15 Jun 2016,17.56
14 Jun 2016,17.39
13 Jun 2016,17.44
10 Jun 2016,17.34
09 Jun 2016,17.24
08 Jun 2016,17.16
07 Jun 2016,16.40
06 Jun 2016,16.46
03 Jun 2016,16.41
02 Jun 2016,15.98
01 Jun 2016,15.96
31 May 2016,16.01
30 May 2016,16.03
27 May 2016,16.23
26 May 2016,16.35
25 May 2016,16.32
24 May 2016,16.22
23 May 2016,16.39
20 May 2016,16.53
19 May 2016,16.52
18 May 2016,16.90
17 May 2016,17.26
16 May 2016,17.17
13 May 2016,17.12
12 May 2016,17.07
11 May 2016,17.43
10 May 2016,17.10
09 May 2016,16.98
06 May 2016,17.49
05 May 2016,17.38
04 May 2016,17.46
03 May 2016,17.48
02 May 2016,17.55
29 Apr 2016,17.84
28 Apr 2016,17.60
27 Apr 2016,17.27
26 Apr 2016,17.16
25 Apr 2016,16.99
22 Apr 2016,16.97
21 Apr 2016,17.03
20 Apr 2016,16.97
19 Apr 2016,16.94
18 Apr 2016,16.18
15 Apr 2016,16.24
14 Apr 2016,16.17
13 Apr 2016,16.20
12 Apr 2016,16.14
11 Apr 2016,15.91
08 Apr 2016,15.37
07 Apr 2016,15.21
06 Apr 2016,15.12
05 Apr 2016,15.14
04 Apr 2016,14.95
01 Apr 2016,15.05
31 Mar 2016,15.44
30 Mar 2016,15.26
29 Mar 2016,15.13
28 Mar 2016,15.21
25 Mar 2016,15.20
24 Mar 2016,15.20
23 Mar 2016,15.25
22 Mar 2016,15.81
21 Mar 2016,15.84
18 Mar 2016,15.80
17 Mar 2016,16.08
16 Mar 2016,15.56
15 Mar 2016,15.28
14 Mar 2016,15.31
11 Mar 2016,15.48
10 Mar 2016,15.63
09 Mar 2016,15.28
