date,price
"Dec 30, 2022",60.39
"Dec 29, 2022",61.79
"Dec 28, 2022",61.06
"Dec 27, 2022",62.18
"Dec 23, 2022",61.06
"Dec 22, 2022",60.86
"Dec 21, 2022",61.62
"Dec 20, 2022",60.41
"Dec 19, 2022",59.52
"Dec 16, 2022",59.76
"Dec 15, 2022",59.89
"Dec 14, 2022",61.29
"Dec 13, 2022",61.07
"Dec 12, 2022",60.48
"Dec 09, 2022",60.67
"Dec 08, 2022",61.46
"Dec 07, 2022",60.03
"Dec 06, 2022",60.86
"Dec 05, 2022",60.64
"Dec 02, 2022",61.97
"Dec 01, 2022",61.46
"Nov 30, 2022",61.02
"Nov 29, 2022",59.33
"Nov 28, 2022",57.63
"Nov 25, 2022",58.79
"Nov 23, 2022",59.35
"Nov 22, 2022",59.47
"Nov 21, 2022",57.25
"Nov 18, 2022",58.02
"Nov 17, 2022",58.58
"Nov 16, 2022",59.32
"Nov 15, 2022",60.64
"Nov 14, 2022",60.48
"Nov 11, 2022",60.39
"Nov 10, 2022",56.22
"Nov 09, 2022",53.34
"Nov 08, 2022",54.09
"Nov 08, 2022",
"Nov 07, 2022",53.04
"Nov 04, 2022",53.70
"Nov 03, 2022",48.40
"Nov 02, 2022",47.99
"Nov 01, 2022",50.01
"Oct 31, 2022",46.97
"Oct 28, 2022",47.11
"Oct 27, 2022",48.35
"Oct 26, 2022",49.19
"Oct 25, 2022",47.35
"Oct 24, 2022",45.82
"Oct 21, 2022",48.78
"Oct 20, 2022",47.15
"Oct 19, 2022",46.41
"Oct 18, 2022",47.32
"Oct 17, 2022",47.65
"Oct 14, 2022",47.03
"Oct 13, 2022",48.75
"Oct 12, 2022",48.07
"Oct 11, 2022",47.28
"Oct 10, 2022",47.47
"Oct 07, 2022",47.91
"Oct 06, 2022",48.30
"Oct 05, 2022",48.63
"Oct 04, 2022",48.89
"Oct 03, 2022",47.74
"Sep 30, 2022",44.84
"Sep 29, 2022",44.80
"Sep 28, 2022",44.70
"Sep 27, 2022",43.63
"Sep 26, 2022",42.81
"Sep 23, 2022",43.45
"Sep 22, 2022",45.57
"Sep 21, 2022",45.36
"Sep 20, 2022",47.32
"Sep 19, 2022",47.85
"Sep 16, 2022",46.68
"Sep 15, 2022",46.76
"Sep 14, 2022",46.86
"Sep 13, 2022",48.21
"Sep 12, 2022",49.55
"Sep 09, 2022",49.20
"Sep 08, 2022",47.31
"Sep 07, 2022",45.73
"Sep 06, 2022",45.13
"Sep 02, 2022",45.69
"Sep 01, 2022",45.37
"Aug 31, 2022",47.07
"Aug 30, 2022",47.54
"Aug 29, 2022",49.77
"Aug 26, 2022",51.37
"Aug 25, 2022",50.63
"Aug 24, 2022",49.23
"Aug 23, 2022",49.38
"Aug 22, 2022",47.69
"Aug 19, 2022",48.40
"Aug 18, 2022",49.42
"Aug 17, 2022",48.16
"Aug 16, 2022",49.32
"Aug 15, 2022",48.58
"Aug 12, 2022",49.18
"Aug 11, 2022",48.60
"Aug 10, 2022",48.30
"Aug 10, 2022",
"Aug 09, 2022",47.83
"Aug 08, 2022",47.63
"Aug 05, 2022",47.45
"Aug 04, 2022",46.30
"Aug 03, 2022",46.46
"Aug 02, 2022",46.79
"Aug 01, 2022",47.93
"Jul 29, 2022",49.80
"Jul 28, 2022",47.88
"Jul 27, 2022",48.32
"Jul 26, 2022",48.84
